Name,Description,Material,Color,Current Price,Old Price,Discount,Piece,Availability,Category,Gender,Size,Design,Link
3 Piece Embroidered Khaddar Suit with Printed Shawl,        Printed Shawl| Printed Khaddar Shirt 2.5 Meters| Printed Khaddar Extra Sleeves| Embroidered Daman| Dyed Khaddar Trouser    ,Khaddar,Green,PKR 6000 ,-,-,3 Piece,In stock,Unstitched,Women,8.13,Embroidered,https://www.alkaramstudio.com/3-piece-embroidered-khaddar-suit-with-printed-shawl-21532
3 Piece Printed Khaddar Suit with Printed Shawl,        Printed Shawl| Printed Khaddar Shirt 3.12 Meters| Dyed Khaddar Trouser    ,Khaddar,Dark Grey,PKR 5000 ,-,-,3 Piece,In stock,Unstitched,Women,8.13,Printed,https://www.alkaramstudio.com/3-piece-printed-khaddar-suit-with-printed-shawl-21487
3 Piece Printed Khaddar Suit with Printed Shawl,        Printed Shawl| Printed Khaddar Shirt 3.12 Meters| Dyed Khaddar Trouser    ,Khaddar,Pink,PKR 5000 ,-,-,3 Piece,In stock,Unstitched,Women,8.13,Printed,https://www.alkaramstudio.com/3-piece-printed-khaddar-suit-with-printed-shawl-21486
3 Piece Printed Khaddar Suit with Printed Shawl,        Printed Shawl| Printed Khaddar Shirt 2.5 Meters| Printed Khaddar Extra Sleeves| Dyed Khaddar Trouser    ,Khaddar,Yellow,PKR 5000 ,-,-,3 Piece,In stock,Unstitched,Women,8.13,Printed,https://www.alkaramstudio.com/3-piece-printed-khaddar-suit-with-printed-shawl-21485
3 Piece Printed Khaddar Suit with Printed Shawl,        Printed Shawl| Printed Khaddar Shirt 2.5 Meters| Printed Khaddar Extra Sleeves| Dyed Khaddar Trouser    ,Khaddar,Green,PKR 5000 ,-,-,3 Piece,In stock,Unstitched,Women,8.13,Printed,https://www.alkaramstudio.com/3-piece-printed-khaddar-suit-with-printed-shawl-21484
3 Piece Embroidered Khaddar Suit with Printed Shawl,        Printed Shawl| Printed Khaddar Shirt 3.12 Meters| Embroidered Daman| Dyed Khaddar Trouser    ,Khaddar,Grey,PKR 6000 ,-,-,3 Piece,In stock,Unstitched,Women,8.13,Embroidered,https://www.alkaramstudio.com/3-piece-embroidered-khaddar-suit-with-printed-shawl
3 Piece Printed Khaddar Suit with Printed Shawl,        Printed Shawl| Printed Khaddar Shirt 3.12 Meters| Dyed Khaddar Trouser    ,Khaddar,Brown,PKR 5000 ,-,-,3 Piece,In stock,Unstitched,Women,8.13,Printed,https://www.alkaramstudio.com/3-piece-printed-khaddar-suit-with-printed-shawl-21483
3 Piece Printed Khaddar Suit with Printed Shawl,Printed Shawl| Printed Khaddar Shirt 3.12 Meters| Dyed Khaddar Trouser ,Khaddar,Blue,PKR 5000 ,-,-,3 Piece,In stock,Unstitched,Women,8.13,Printed,https://www.alkaramstudio.com/3-piece-printed-khaddar-suit-with-printed-shawl
3 Piece Printed Plain Viscose Suit with Plain Viscose Dupatta,Printed Plain Viscose Dupatta| Printed Plain Viscose Shirt 3.12 Meters| Dyed Plain Viscose Trouser ,Linen,Brown,PKR 3200 ,-,-,3 Piece,In stock,Unstitched,Women,8.13,Printed,https://www.alkaramstudio.com/3-piece-printed-plain-viscose-suit-with-plain-viscose-dupatta-22473
3 Piece Embroidered Plain Viscose Suit with Plain Viscose Dupatta,        Printed Plain Viscose Dupatta| Printed Plain Viscose Shirt 3.12 Meters| Embroidered Daman| Dyed Plain Viscose Trouser    ,Linen,Red,PKR 3800 ,-,-,3 Piece,In stock,Unstitched,Women,8.13,Embroidered,https://www.alkaramstudio.com/3-piece-embroidered-plain-viscose-suit-with-plain-viscose-dupatta-21552
3 Piece Embroidered Plain Viscose Suit with Plain Viscose Dupatta,        Printed Plain Viscose Dupatta| Printed Plain Viscose Shirt 3.12 Meters| Embroidered Daman| Dyed Plain Viscose Trouser    ,Linen,Blue,PKR 3800 ,-,-,3 Piece,In stock,Unstitched,Women,8.13,Embroidered,https://www.alkaramstudio.com/3-piece-embroidered-plain-viscose-suit-with-plain-viscose-dupatta
3 Piece Printed Plain Viscose Suit with Plain Viscose Dupatta,        Printed Plain Viscose Dupatta| Printed Plain Viscose Shirt 3.12 Meters| Dyed Plain Viscose Trouser    ,Linen,Blue,PKR 3200 ,-,-,3 Piece,In stock,Unstitched,Women,8.13,Printed,https://www.alkaramstudio.com/3-piece-printed-plain-viscose-suit-with-plain-viscose-dupatta-22472
3 Piece Printed Plain Viscose Suit with Plain Viscose Dupatta,        Printed Plain Viscose Dupatta| Printed Plain Viscose Shirt 3.12 Meters| Dyed Plain Viscose Trouser    ,Linen,Green,PKR 3200 ,-,-,3 Piece,In stock,Unstitched,Women,8.13,Printed,https://www.alkaramstudio.com/3-piece-printed-plain-viscose-suit-with-plain-viscose-dupatta-22471
3 Piece Printed Plain Viscose Suit with Plain Viscose Dupatta,        Printed Plain Viscose Dupatta| Printed Plain Viscose Shirt 3.12 Meters| Dyed Plain Viscose Trouser    ,Linen,Blue,PKR 3200 ,-,-,3 Piece,In stock,Unstitched,Women,8.13,Printed,https://www.alkaramstudio.com/3-piece-printed-plain-viscose-suit-with-plain-viscose-dupatta-22469
3 Piece Printed Plain Viscose Suit with Plain Viscose Dupatta,        Printed Plain Viscose Dupatta| Printed Plain Viscose Shirt 3.12 Meters| Dyed Plain Viscose Trouser    ,Linen,Black,PKR 3200 ,-,-,3 Piece,In stock,Unstitched,Women,8.13,Printed,https://www.alkaramstudio.com/3-piece-printed-plain-viscose-suit-with-plain-viscose-dupatta-22468
3 Piece Printed Plain Viscose Suit with Plain Viscose Dupatta,Printed Plain Viscose Dupatta| Printed Plain Viscose Shirt 3.12 Meters| Dyed Plain Viscose Trouser ,Linen,Pink,PKR 3200 ,-,-,3 Piece,In stock,Unstitched,Women,8.13,Printed,https://www.alkaramstudio.com/3-piece-printed-plain-viscose-suit-with-plain-viscose-dupatta
3 Piece Printed Khaddar Suit with Khaddar Dupatta,        Printed Khaddar Dupatta| Printed Khaddar Shirt 3.12 Meters| Dyed Khaddar Trouser    ,Khaddar,Pink,PKR 2900 ,-,-,3 Piece,In stock,Unstitched,Women,8.13,Printed,https://www.alkaramstudio.com/3-piece-printed-khaddar-suit-with-khaddar-dupatta-21711
3 Piece Printed Khaddar Suit with Khaddar Dupatta,Printed Khaddar Dupatta| Printed Khaddar Shirt 3.12 Meters| Dyed Khaddar Trouser ,Khaddar,Blue,PKR 2900 ,-,-,3 Piece,In stock,Unstitched,Women,8.13,Printed,https://www.alkaramstudio.com/3-piece-printed-khaddar-suit-with-khaddar-dupatta-21710
3 Piece Embroidered Khaddar Suit with Khaddar Dupatta,Printed Khaddar Dupatta| Printed Khaddar Shirt 3.12 Meters| Embroidered Shirt Front| Dyed Khaddar Trouser ,Khaddar,Orange,PKR 3500 ,-,-,3 Piece,In stock,Unstitched,Women,8.13,Embroidered,https://www.alkaramstudio.com/3-piece-embroidered-khaddar-suit-with-khaddar-dupatta-21523
3 Piece Embroidered Suit with Chiffon Dupatta,        Printed Chiffon Dupatta|Printed Cambric Chiffli Shirt 3 Meters|Dyed Cambric Trouser    ,Cambric,Pink,PKR 5450 ,-,-,3 Piece,In stock,Unstitched,Women,8,Embroidered,https://www.alkaramstudio.com/3-piece-embroidered-suit-with-chiffon-dupatta-22641
3 Piece Embroidered Suit with Chiffon Dupatta,        Printed Chiffon Dupatta|Printed Cambric Chiffli Shirt 3 Meters|Dyed Cambric Trouser    ,Cambric,Green,PKR 5450 ,-,-,3 Piece,In stock,Unstitched,Women,8,Embroidered,https://www.alkaramstudio.com/3-piece-embroidered-suit-with-chiffon-dupatta-22640
3 Piece Embroidered Suit with Chiffon Dupatta,        Printed Chiffon Dupatta|Printed Cambric Chiffli Shirt 3 Meters|Dyed Cambric Trouser    ,Cambric,Blue,PKR 5450 ,-,-,3 Piece,In stock,Unstitched,Women,8,Embroidered,https://www.alkaramstudio.com/3-piece-embroidered-suit-with-chiffon-dupatta-22639
3 Piece Embroidered Suit with Chiffon Dupatta,        Printed Chiffon Dupatta|Printed Cambric Chiffli Shirt 3 Meters|Dyed Cambric Trouser    ,Cambric,Beige,PKR 5450 ,-,-,3 Piece,In stock,Unstitched,Women,8,Embroidered,https://www.alkaramstudio.com/3-piece-embroidered-suit-with-chiffon-dupatta-22638
1 Piece Printed Cotton Satin Shirt,        Printed Cotton Satin Shirt 3.13 Meters    ,Cotton Satin,Beige,PKR 1750 ,-,-,1 Piece,In stock,Unstitched,Women,3.13,Printed,https://www.alkaramstudio.com/1-piece-printed-cotton-satin-shirt-22087
1 Piece Printed Cotton Satin Shirt,        Printed Cotton Satin Shirt 3.13 Meters    ,Cotton Satin,Beige,PKR 1750 ,-,-,1 Piece,In stock,Unstitched,Women,3.13,Printed,https://www.alkaramstudio.com/1-piece-printed-cotton-satin-shirt-22086
1 Piece Printed Cotton Satin Shirt,        Printed Cotton Satin Shirt 3.13 Meters    ,Cotton Satin,Beige,PKR 1750 ,-,-,1 Piece,In stock,Unstitched,Women,3.13,Printed,https://www.alkaramstudio.com/1-piece-printed-cotton-satin-shirt-22085
1 Piece Printed Cotton Satin Shirt,        Printed Cotton Satin Shirt 3.13 Meters    ,Cotton Satin,Beige,PKR 1750 ,-,-,1 Piece,In stock,Unstitched,Women,3.13,Printed,https://www.alkaramstudio.com/1-piece-printed-cotton-satin-shirt-22084
1 Piece Printed Cotton Satin Shirt,        Printed Cotton Satin Shirt 3.13 Meters    ,Cotton Satin,Beige,PKR 1750 ,-,-,1 Piece,In stock,Unstitched,Women,3.13,Printed,https://www.alkaramstudio.com/1-piece-printed-cotton-satin-shirt-22083
1 Piece Printed Cotton Satin Shirt,        Printed Cotton Satin Shirt 3.13 Meters    ,Cotton Satin,Beige,PKR 1750 ,-,-,1 Piece,In stock,Unstitched,Women,3.13,Printed,https://www.alkaramstudio.com/1-piece-printed-cotton-satin-shirt-22082
2 Piece Printed Suit with Dyed Cotton Satin Trouser,        Digital Printed Cotton Satin Shirt 3.12 Meters|Dyed Cotton Satin Trouser    ,Cotton Satin,Beige,PKR 2800 ,-,-,2 Piece,In stock,Unstitched,Women,5.63,Printed,https://www.alkaramstudio.com/2-piece-printed-suit-with-dyed-cotton-satin-trouser-22081
2 Piece Printed Suit with Dyed Cotton Satin Trouser,        Digital Printed Cotton Satin Shirt 3.12 Meters|Dyed Cotton Satin Trouser    ,Cotton Satin,Beige,PKR 2800 ,-,-,2 Piece,In stock,Unstitched,Women,5.63,Printed,https://www.alkaramstudio.com/2-piece-printed-suit-with-dyed-cotton-satin-trouser-22080
2 Piece Printed Suit with Dyed Cotton Satin Trouser,        Digital Printed Cotton Satin Shirt 3.12 Meters|Dyed Cotton Satin Trouser    ,Cotton Satin,Beige,PKR 2800 ,-,-,2 Piece,In stock,Unstitched,Women,5.63,Printed,https://www.alkaramstudio.com/2-piece-printed-suit-with-dyed-cotton-satin-trouser-22079
2 Piece Printed Suit with Dyed Cotton Satin Trouser,        Digital Printed Cotton Satin Shirt 3.12 Meters|Dyed Cotton Satin Trouser    ,Cotton Satin,Beige,PKR 2800 ,-,-,2 Piece,In stock,Unstitched,Women,5.63,Printed,https://www.alkaramstudio.com/2-piece-printed-suit-with-dyed-cotton-satin-trouser-22078
2 Piece Printed Suit with Dyed Cotton Satin Trouser,        Digital Printed Cotton Satin Shirt 3.12 Meters|Dyed Cotton Satin Trouser    ,Cotton Satin,Beige,PKR 2800 ,-,-,2 Piece,In stock,Unstitched,Women,5.63,Printed,https://www.alkaramstudio.com/2-piece-printed-suit-with-dyed-cotton-satin-trouser-22077
2 Piece Embroidered Suit with Dyed Cotton Satin Trouser,        Digital Printed Cotton Satin Shirt 3.12 Meters|Separate Bunches on Organza|Dyed Cotton Satin Trouser    ,Cotton Satin,Beige,PKR 3000 ,-,-,2 Piece,In stock,Unstitched,Women,5.63,Embroidered,https://www.alkaramstudio.com/2-piece-embroidered-suit-with-dyed-cotton-satin-trouser-22060
2 Piece Embroidered Suit with Dyed Cotton Satin Trouser,        Digital Printed Cotton Satin Shirt 3.12 Meters|Separate Border on Organza 1 Meter|Dyed Cotton Satin Trouser    ,Cotton Satin,Beige,PKR 3000 ,-,-,2 Piece,In stock,Unstitched,Women,5.63,Embroidered,https://www.alkaramstudio.com/2-piece-embroidered-suit-with-dyed-cotton-satin-trouser-22059
2 Piece Embroidered Suit with Dyed Cotton Satin Trouser,        Digital Printed Cotton Satin Shirt 3.12 Meters|Separate Border on Organza 1 Meter|Dyed Cotton Satin Trouser    ,Cotton Satin,Beige,PKR 3000 ,-,-,2 Piece,In stock,Unstitched,Women,5.63,Embroidered,https://www.alkaramstudio.com/2-piece-embroidered-suit-with-dyed-cotton-satin-trouser-22058
2 Piece Printed Suit with Dyed Cotton Satin Trouser,        Digital Printed Cotton Satin Shirt 3.12 Meters|Dyed Cotton Satin Trouser    ,Cotton Satin,Beige,PKR 2800 ,-,-,2 Piece,In stock,Unstitched,Women,5.63,Printed,https://www.alkaramstudio.com/2-piece-printed-suit-with-dyed-cotton-satin-trouser-22076
2 Piece Printed Suit with Dyed Cotton Satin Trouser,        Digital Printed Cotton Satin Shirt 3.12 Meters|Dyed Cotton Satin Trouser    ,Cotton Satin,Beige,PKR 2800 ,-,-,2 Piece,In stock,Unstitched,Women,5.63,Printed,https://www.alkaramstudio.com/2-piece-printed-suit-with-dyed-cotton-satin-trouser-22075
2 Piece Printed Suit with Dyed Cotton Satin Trouser,        Digital Printed Cotton Satin Shirt 3.12 Meters|Dyed Cotton Satin Trouser    ,Cotton Satin,Beige,PKR 2800 ,-,-,2 Piece,In stock,Unstitched,Women,5.63,Printed,https://www.alkaramstudio.com/2-piece-printed-suit-with-dyed-cotton-satin-trouser-22074
2 Piece Embroidered Suit with Dyed Cotton Satin Trouser,        Digital Printed Cotton Satin Shirt 3.12 Meters|Separate Neckline on Organza|Dyed Cotton Satin Trouser    ,Cotton Satin,Beige,PKR 3000 ,-,-,2 Piece,In stock,Unstitched,Women,5.63,Embroidered,https://www.alkaramstudio.com/2-piece-embroidered-suit-with-dyed-cotton-satin-trouser-22057
2 Piece Embroidered Suit with Dyed Cotton Satin Trouser,Digital Printed Cotton Satin Shirt 3.12 Meters|Separate Bunches on Organza|Separate Lace on Organza 1 Meter|Dyed Cotton Satin Trouser ,Cotton Satin,Beige,PKR 3000 ,-,-,2 Piece,In stock,Unstitched,Women,5.63,Embroidered,https://www.alkaramstudio.com/2-piece-embroidered-suit-with-dyed-cotton-satin-trouser
2 Piece Printed Suit with Dyed Cotton Satin Trouser,        Digital Printed Cotton Satin Shirt 3.12 Meters|Dyed Cotton Satin Trouser    ,Cotton Satin,Beige,PKR 2800 ,-,-,2 Piece,In stock,Unstitched,Women,5.63,Printed,https://www.alkaramstudio.com/2-piece-printed-suit-with-dyed-cotton-satin-trouser
2 Piece Printed Suit with Dyed Cotton Trouser,        Digital Printed Cotton Satin Shirt 3.12 Meters|Dyed Cotton Satin Trouser    ,Cotton Satin,Beige,PKR 2800 ,-,-,2 Piece,In stock,Unstitched,Women,5.63,Printed,https://www.alkaramstudio.com/2-piece-printed-suit-with-dyed-cotton-trouser
1 Piece Printed Tissue Silk Dupatta,        Printed Tissue Silk Dupatta 2.5 Meters    ,Cotton Satin,Blue,PKR 2200 ,-,-,1 Piece,In stock,Unstitched,Women,2.5,Printed,https://www.alkaramstudio.com/1-piece-printed-tissue-silk-dupatta-22042
1 Piece Printed Tissue Silk Dupatta,        Printed Tissue Silk Dupatta 2.5 Meters    ,Cotton Satin,Gold,PKR 2200 ,-,-,1 Piece,In stock,Unstitched,Women,2.5,Printed,https://www.alkaramstudio.com/1-piece-printed-tissue-silk-dupatta-22041
1 Piece Printed Tissue Silk Dupatta,        Dust Printed Tissue Silk Dupatta 2.5 Meters    ,Cotton Satin,White,PKR 2200 ,-,-,1 Piece,In stock,Unstitched,Women,2.5,Printed,https://www.alkaramstudio.com/1-piece-printed-tissue-silk-dupatta
1 Piece Printed Chiffon Dupatta,        Dust Printed Chiffon Dupatta 2.5 Meters    ,Chiffon,Ivory,PKR 3000 ,-,-,1 Piece,In stock,Unstitched,Women,2.5,Printed,https://www.alkaramstudio.com/1-piece-printed-chiffon-dupatta-22039
1 Piece Printed Chiffon Dupatta,Dust Printed Chiffon Dupatta 2.5 Meters ,Chiffon,Maroon,$18 ,-,-,1 Piece,In stock,Unstitched,Women,2.5,Printed,https://www.alkaramstudio.com/1-piece-printed-chiffon-dupatta-22038
1 Piece Printed Chiffon Dupatta,        Dust Printed Chiffon Dupatta 2.5 Meters    ,Chiffon,Black,PKR 2200 ,-,-,1 Piece,In stock,Unstitched,Women,2.5,Printed,https://www.alkaramstudio.com/1-piece-printed-chiffon-dupatta
2 Piece MAK Printed,        Printed Cotton satin Digital Shirt 3.12 Meters|Dyed Cambric Trouser    ,Cotton Satin,Mustard,PKR 2450 ,-,-,2 Piece,In stock,Unstitched,MAK,5.63,Printed,https://www.alkaramstudio.com/2-piece-mak-printed-21864
2 Piece MAK Printed,        Printed Twill viscose Digital Shirt 3.12 Meters|Dyed Cambric Pants    ,Linen,Pink,PKR 2350 ,-,-,2 Piece,In stock,Unstitched,MAK,5.63,Printed,https://www.alkaramstudio.com/2-piece-mak-printed-21863
2 Piece MAK Printed,        Printed Cotail viscose Digital Shirt 3.12 Meters|Dyed Cambric Pants    ,Linen,Purple,PKR 2350 ,-,-,2 Piece,In stock,Unstitched,MAK,5.63,Printed,https://www.alkaramstudio.com/2-piece-mak-printed-21862
2 Piece MAK Printed,        Printed Cotton satin Digital Shirt 3.12 Meters|Dyed Cambric Pants    ,Cotton Satin,Purple,PKR 2450 ,-,-,2 Piece,In stock,Unstitched,MAK,5.63,Printed,https://www.alkaramstudio.com/2-piece-mak-printed-21861
1 Piece MAK Embroidered,Embroidered Yarn Dyed Shirt 3 Meters ,Yarn Dyed,Green,PKR 1650 ,-,-,1 Piece,In stock,Unstitched,MAK,3,Embroidered,https://www.alkaramstudio.com/1-piece-mak-embroidered-21626
1 Piece MAK Embroidered,        Embroidered Yarn Dyed Shirt 3 Meters    ,Yarn Dyed,Blue,PKR 1650 ,-,-,1 Piece,In stock,Unstitched,MAK,3,Embroidered,https://www.alkaramstudio.com/1-piece-mak-embroidered-21625
1 Piece MAK Printed,        Printed cotton satin Shirt 3 Meters    ,Cotton Satin,Green,PKR 1450 ,-,-,1 Piece,In stock,Unstitched,MAK,3.13,Printed,https://www.alkaramstudio.com/1-piece-mak-printed-21666
1 Piece MAK Printed,        Printed cotton satin Shirt 3 Meters    ,Cotton Satin,Green,PKR 1450 ,-,-,1 Piece,In stock,Unstitched,MAK,3.13,Printed,https://www.alkaramstudio.com/1-piece-mak-printed-21665
2 Piece MAK Printed,        Printed Twill viscose Digital Shirt 3.12 Meters|Dyed Cambric Pants    ,Linen,Beige,PKR 2350 ,-,-,2 Piece,In stock,Unstitched,MAK,5.63,Printed,https://www.alkaramstudio.com/2-piece-mak-printed-21860
2 Piece MAK Printed,        Printed Twill viscose Digital Shirt 3.12 Meters|Dyed Cambric Pants    ,Linen,Multi,PKR 2350 ,-,-,2 Piece,In stock,Unstitched,MAK,5.63,Printed,https://www.alkaramstudio.com/2-piece-mak-printed-21859
2 Piece MAK Printed,        Printed Twill viscose Digital Shirt 3.12 Meters|Dyed Cambric Pants    ,Linen,Multi,PKR 2350 ,-,-,2 Piece,In stock,Unstitched,MAK,5.63,Printed,https://www.alkaramstudio.com/2-piece-mak-printed-21858
2 Piece MAK Printed,        Printed Viscose Dupatta|Printed Cotail viscose Shirt 3.12 Meters    ,Linen,Grey,PKR 2450 ,-,-,2 Piece,In stock,Unstitched,MAK,5.63,Printed,https://www.alkaramstudio.com/2-piece-mak-printed-21857
2 Piece MAK Printed,        Printed Viscose Dupatta|Printed Cotail viscose Shirt 3.12 Meters    ,Linen,Pink,PKR 2450 ,-,-,2 Piece,In stock,Unstitched,MAK,5.63,Printed,https://www.alkaramstudio.com/2-piece-mak-printed-21856
2 Piece MAK Printed,        Printed Viscose Dupatta|Printed Cotail viscose Shirt 3.12 Meters    ,Linen,Peach,PKR 2450 ,-,-,2 Piece,In stock,Unstitched,MAK,5.63,Printed,https://www.alkaramstudio.com/2-piece-mak-printed-21855
2 Piece MAK Printed,        Printed Viscose Dupatta|Printed Cotail viscose Shirt 3.12 Meters    ,Linen,Green,PKR 2450 ,-,-,2 Piece,In stock,Unstitched,MAK,5.63,Printed,https://www.alkaramstudio.com/2-piece-mak-printed-21854
1 Piece MAK Printed,Printed Khaddar Digital Shirt 3.12 Meters ,Khaddar,Grey,PKR 1450 ,-,-,1 Piece,In stock,Unstitched,MAK,3.13,Printed,https://www.alkaramstudio.com/1-piece-mak-printed-21664
2 Piece MAK Printed,        Printed Khaddar Stole|Printed Khaddar Digital Shirt 3.12 Meters    ,Khaddar,Blue,PKR 1950 ,-,-,2 Piece,In stock,Unstitched,MAK,4.05,Printed,https://www.alkaramstudio.com/2-piece-mak-printed-21853
2 Piece MAK Printed,        Printed Khaddar Stole|Printed Khaddar Digital Shirt 3.12 Meters    ,Khaddar,Green,PKR 1950 ,-,-,2 Piece,In stock,Unstitched,MAK,4.05,Printed,https://www.alkaramstudio.com/2-piece-mak-printed-21852
2 Piece MAK Printed,        Printed Khaddar Stole|Printed Khaddar Digital Shirt 3.12 Meters    ,Khaddar,Beige,PKR 1950 ,-,-,2 Piece,In stock,Unstitched,MAK,4.05,Printed,https://www.alkaramstudio.com/2-piece-mak-printed-21851
2 Piece MAK Printed,Printed Ribbed Shirt 3.12 Meters|Dyed Cambric Trouser ,Ribbed,Blue,PKR 2250 ,-,-,2 Piece,In stock,Unstitched,MAK,5.63,Printed,https://www.alkaramstudio.com/2-piece-mak-printed-21850
2 Piece MAK Printed,        Printed Ribbed Shirt 3.12 Meters|Dyed Cambric Trouser    ,Ribbed,Yellow,PKR 2250 ,-,-,2 Piece,In stock,Unstitched,MAK,5.63,Printed,https://www.alkaramstudio.com/2-piece-mak-printed-21849
2 Piece MAK Printed,        Printed Ribbed Shirt 3.12 Meters|Dyed Cambric Trouser    ,Ribbed,Pink,PKR 2250 ,-,-,2 Piece,In stock,Unstitched,MAK,5.63,Printed,https://www.alkaramstudio.com/2-piece-mak-printed-21848
2 Piece MAK Printed,        Printed Cotail viscose Digital Shirt 3.12 Meters|Dyed Cambric Pants    ,Linen,Yellow,PKR 2350 ,-,-,2 Piece,In stock,Unstitched,MAK,5.63,Printed,https://www.alkaramstudio.com/2-piece-mak-printed-21847
2 Piece MAK Embroidered,        Embroidered Khaddar Shirt 3 Meters|Dyed Khaddar Trouser    ,Khaddar,Dark Grey,PKR 2450 ,-,-,2 Piece,In stock,Unstitched,MAK,5.5,Embroidered,https://www.alkaramstudio.com/2-piece-mak-embroidered-21599
2 Piece MAK Embroidered,        Embroidered Khaddar Shirt 3 Meters|Dyed Khaddar Trouser    ,Khaddar,Rust,PKR 2450 ,-,-,2 Piece,In stock,Unstitched,MAK,5.5,Embroidered,https://www.alkaramstudio.com/2-piece-mak-embroidered-21598
2 Piece MAK Embroidered,        Embroidered Khaddar Shirt 3 Meters|Dyed Khaddar Trouser    ,Khaddar,Lilac,PKR 2450 ,-,-,2 Piece,In stock,Unstitched,MAK,5.5,Embroidered,https://www.alkaramstudio.com/2-piece-mak-embroidered-21597
3 Piece Printed Khaddar Suit with Khaddar Dupatta,        Printed Khaddar Dupatta| Printed Khaddar Shirt| Dyed Khaddar Trouser|*Actual design may vary from the picture    ,Khaddar,Peach,PKR 2950 ,-,-,3 Piece,In stock,Unstitched,Women,8,Printed,https://www.alkaramstudio.com/3-piece-printed-khaddar-suit-with-khaddar-dupatta-21707
3 Piece Printed Khaddar Suit with Khaddar Dupatta,Printed Khaddar Dupatta| Printed Khaddar Shirt| Dyed Khaddar Trouser|*Actual design may vary from the picture ,Khaddar,Black,PKR 2950 ,-,-,3 Piece,In stock,Unstitched,Women,8,Printed,https://www.alkaramstudio.com/3-piece-printed-khaddar-suit-with-khaddar-dupatta-21704
3 Piece Printed Khaddar Suit with Khaddar Dupatta,Printed Khaddar Dupatta| Printed Khaddar Shirt| Dyed Khaddar Trouser|*Actual design may vary from the picture ,Khaddar,Red,PKR 2950 ,-,-,3 Piece,In stock,Unstitched,Women,8,Printed,https://www.alkaramstudio.com/3-piece-printed-khaddar-suit-with-khaddar-dupatta-21702
3 Piece Printed Khaddar Suit with Khaddar Dupatta,        Printed Khaddar Dupatta| Printed Khaddar Shirt| Dyed Khaddar Trouser|*Actual design may vary from the picture    ,Khaddar,Blue,PKR 2950 ,-,-,3 Piece,In stock,Unstitched,Women,8,Printed,https://www.alkaramstudio.com/3-piece-printed-khaddar-suit-with-khaddar-dupatta-21701
Dyed Ribbed Trouser (Sold by Per Meter),        Dyed Ribbed Fabric|Sold By Rs. 400/- Per Meter    ,Dobby,Mustard,PKR 400 ,-,-,1 Piece,In stock,Unstitched,Women,1,Dyed,https://www.alkaramstudio.com/dyed-ribbed-trouser-21106
Dyed Ribbed Trouser,        Dyed Ribbed Fabric 3 Meter    ,Dobby,Off White,PKR 1200 ,-,-,1 Piece,In stock,Unstitched,Women,3,Dyed,https://www.alkaramstudio.com/dyed-ribbed-trouser-21105
Dyed Ribbed Trouser (Sold by Per Meter),        Dyed Ribbed Fabric|Sold By Rs. 400/- Per Meter    ,Dobby,Blue,PKR 400 ,-,-,1 Piece,In stock,Unstitched,Women,1,Dyed,https://www.alkaramstudio.com/dyed-ribbed-trouser-21104
Dyed Ribbed Trouser (Sold by Per Meter),        Dyed Ribbed Fabric|Sold By Rs. 400/- Per Meter    ,Dobby,Black,PKR 400 ,-,-,1 Piece,In stock,Unstitched,Women,1,Dyed,https://www.alkaramstudio.com/dyed-ribbed-trouser
Embroidered Slub Lawn Shirt (Sold by Per Meter),        Embroidered Slub Lawn Shirt|Sold By Rs. 1330/- Per Meter    ,Lawn,Green,PKR 1330 ,-,-,1 Piece,In stock,Unstitched,Women,1,Embroidered,https://www.alkaramstudio.com/1-piece-embroidered-slub-lawn-shirt-21091
Embroidered Slub Lawn Shirt (Sold by Per Meter),        Embroidered Slub Lawn Shirt|Sold By Rs. 1100/- Per Meter    ,Lawn,Black,PKR 1100 ,-,-,1 Piece,In stock,Unstitched,Women,1,Embroidered,https://www.alkaramstudio.com/1-piece-embroidered-slub-lawn-shirt
Embroidered Yarn Dyed Shirt (Sold by Per Meter),        Embroidered Yarn Dyed Shirt|Sold By Rs. 800/- Per Meter    ,Yarn Dyed,Sea Green,PKR 800 ,-,-,1 Piece,In stock,Unstitched,Women,1,Embroidered,https://www.alkaramstudio.com/1-piece-embroidered-shirt-21146
Embroidered Yarn Dyed Shirt (Sold by Per Meter),        Embroidered Yarn Dyed Shirt|Sold By Rs. 800/- Per Meter    ,Yarn Dyed,Beige,PKR 800 ,-,-,1 Piece,In stock,Unstitched,Women,1,Embroidered,https://www.alkaramstudio.com/1-piece-embroidered-shirt-21145
1 Piece Dyed Denim Shirt,        Dyed Denim Shirt 3 Meter    ,Denim,Blue,PKR 1200 ,-,-,1 Piece,In stock,Unstitched,Women,3,Dyed,https://www.alkaramstudio.com/1-piece-dyed-denim-shirt
Printed Denim Shirt (Sold by Per Meter),        Printed Denim Shirt|Sold By Rs. 450/- Per Meter    ,Denim,Blue,PKR 450 ,-,-,1 Piece,In stock,Unstitched,Women,1,Printed,https://www.alkaramstudio.com/1-piece-printed-denim-shirt-21576
Printed Dobby Shirt (Sold by Per Meter),        Printed Dobby Shirt|Sold By Rs. 700/- Per Meter    ,Dobby,Silver,PKR 700 ,-,-,1 Piece,In stock,Unstitched,Women,1,Printed,https://www.alkaramstudio.com/1-piece-printed-shirt-21587
