Name,Description,Material,Color,Current Price,Old Price,Discount,Piece,Availability,Category,Gender,Size,Design,Link
Printed Cotton Satin Shirt Fabric (Sold by Per Meter),Printed Cotton Satin Shirt Fabric|Sold by Rs. 950/- Per Meter ,Cotton Satin,Cream,PKR 950 ,-,-,1 Piece,In stock,Unstitched,Women,1,Printed,https://www.alkaramstudio.com/printed-cotton-satin-shirt-fabric-sold-by-per-meter
3 Piece Printed Khaddar Suit with Khaddar Dupatta,        Printed Khaddar Dupatta| Printed Khaddar Shirt 3.12 Meters| Dyed Khaddar Trouser    ,Khaddar,Orange,PKR 2900 ,-,-,3 Piece,In stock,Unstitched,Women,8.13,Printed,https://www.alkaramstudio.com/3-piece-printed-khaddar-suit-with-khaddar-dupatta-21727
3 Piece Printed Khaddar Suit with Khaddar Dupatta,Printed Khaddar Dupatta| Printed Khaddar Shirt 3 Meters| Dyed Khaddar Trouser ,Khaddar,Sea Green,PKR 2900 ,-,-,3 Piece,In stock,Unstitched,Women,8,Printed,https://www.alkaramstudio.com/3-piece-printed-khaddar-suit-with-khaddar-dupatta-21722
1 Piece Embroidered Denim Shirt,        Denim Shirt 1.8 Meters| Embroidered Shirt Front    ,Denim,Blue,PKR 2500 ,-,-,1 Piece,In stock,Unstitched,Women,1.8,Embroidered,https://www.alkaramstudio.com/1-piece-embroidered-denim-shirt-21560
3 Piece Printed Khaddar Suit with Khaddar Dupatta,        Printed Khaddar Dupatta| Printed Khaddar Shirt 3.12 Meters| Dyed Khaddar Trouser    ,Khaddar,Yellow,PKR 2900 ,-,-,3 Piece,In stock,Unstitched,Women,8.13,Printed,https://www.alkaramstudio.com/3-piece-printed-khaddar-suit-with-khaddar-dupatta-21720
1 Piece Printed Denim Shirt,        Printed Denim Shirt 2.2 Meters    ,Denim,Blue,PKR 2000 ,-,-,1 Piece,In stock,Unstitched,Women,2.2,Printed,https://www.alkaramstudio.com/1-piece-printed-denim-shirt-21578
1 Piece Embroidered Khaddar Shirt,Printed Khaddar Embroidery Shirt 3 Meters| Embroidered Neckline on Shirt ,Khaddar,Light Pink,PKR 1850 ,-,-,1 Piece,In stock,Unstitched,Women,3,Embroidered,https://www.alkaramstudio.com/1-piece-embroidered-khaddar-shirt-21535
1 Piece Embroidered Khaddar Shirt,        Printed Khaddar Embroidery Shirt 3 Meters| Embroidery on sleeves    ,Khaddar,Blue,PKR 1850 ,-,-,1 Piece,In stock,Unstitched,Women,3,Embroidered,https://www.alkaramstudio.com/1-piece-embroidered-khaddar-shirt-21534
1 Piece Embroidered Khaddar Shirt,        Printed Khaddar Embroidery Shirt 3 Meters| Embroidered Shirt front and sleeves    ,Khaddar,Black,PKR 2500 ,-,-,1 Piece,In stock,Unstitched,Women,3,Embroidered,https://www.alkaramstudio.com/1-piece-embroidered-khaddar-shirt
2 Piece Printed Khaddar Suit with Khaddar Trouser,        Printed Khaddar Shirt 3 Meters| Dyed Khaddar Trouser    ,Khaddar,Blue,PKR 2000 ,-,-,2 Piece,In stock,Unstitched,Women,5.63,Printed,https://www.alkaramstudio.com/2-piece-printed-khaddar-suit-with-khaddar-trouser-21577
2 Piece Embroidered Twill Viscose Suit with Twill Viscose Trouser,        Printed Twill Viscose Shirt 3.12 Meters| Separate Embroiderd Border| Dyed Twill Viscose Trouser    ,Linen,Blue,PKR 2800 ,-,-,2 Piece,In stock,Unstitched,Women,5.63,Embroidered,https://www.alkaramstudio.com/2-piece-embroidered-twill-viscose-suit-with-twill-viscose-trouser
3 Piece Printed Khaddar Suit with Khaddar Dupatta,Printed Khaddar Dupatta| Printed Khaddar Shirt 3 Meters| Dyed Khaddar Trouser ,Khaddar,Olive,PKR 2900 ,-,-,3 Piece,In stock,Unstitched,Women,8.13,Printed,https://www.alkaramstudio.com/3-piece-printed-khaddar-suit-with-khaddar-dupatta-21718
2 Piece Printed Twill Viscose Suit with Twill Viscose Trouser,        Printed Twill Viscose Shirt 3.12 Meters| Dyed Twill Viscose Trouser    ,Linen,Orange,PKR 2300 ,-,-,2 Piece,In stock,Unstitched,Women,5.63,Printed,https://www.alkaramstudio.com/2-piece-printed-twill-viscose-suit-with-twill-viscose-trouser-21514
2 Piece Printed Twill Viscose Suit with Twill Viscose Trouser,Printed Twill Viscose Shirt 3.12 Meters| Dyed Twill Viscose Trouser ,Linen,Blue,PKR 2300 ,-,-,2 Piece,In stock,Unstitched,Women,5.63,Printed,https://www.alkaramstudio.com/2-piece-printed-twill-viscose-suit-with-twill-viscose-trouser
2 Piece Printed Plain Viscose Suit with Plain Viscose Dupatta,        Printed Plain Viscose Dupatta| Printed Plain Viscose Shirt 3.12 Meters    ,Linen,Blue,PKR 2300 ,-,-,2 Piece,In stock,Unstitched,Women,5.63,Printed,https://www.alkaramstudio.com/2-piece-printed-plain-viscose-suit-with-plain-viscose-dupatta
2 Piece Embroidered Plain Viscose Suit with Plain Viscose Dupatta,        Printed Plain viscose Dupatta| Printed Plain viscose Shirt 3 Meters| Separate Embroidered Border| ,Linen,Blue,PKR 2900 ,-,-,2 Piece,In stock,Unstitched,Women,5.5,Embroidered,https://www.alkaramstudio.com/2-piece-embroidered-plain-viscose-suit-with-plain-viscose-dupatta
2 Piece Printed Khaddar Suit with Khaddar Trouser,        Printed Khaddar Shirt 3.12 Meters| Dyed Khaddar Trouser    ,Khaddar,Mustard,PKR 2000 ,-,-,2 Piece,In stock,Unstitched,Women,5.63,Printed,https://www.alkaramstudio.com/2-piece-printed-khaddar-suit-with-khaddar-trouser-21574
