,Name,Description,Old Price,New Price,Discount,Size(s)
28,Light Pink BM-142,"Printed Bamber Dupatta – 2.5 meters
Dyed Embroidered Jacquard Shirt – 3.15 meters
Table Bottom – 1.75 meters","PKR 6,900","PKR 4,830",30,
29,Cream BM-133,"Bamber Dupatta – 2.5 meters
Digital Cambric Shirt with Embroidered Front – 3 meters
Dyed Bottom – 1.75 meters","PKR 7,300","PKR 5,110",30,
30,WSE-63,"Digital Printed Khaddar Dupatta – 2.5 meters
Digital Printed Khaddar Shirt – 3 meters
Khaddar Dyed Bottom – 2.5 meters","PKR 4,557","PKR 3,190",30,
31,WSE-77,"Digital Printed Khaddar Dupatta – 2.5 meters
Digital Printed Khaddar Shirt – 3 meters
Khaddar Dyed Bottom – 2.5 meters","PKR 4,557","PKR 3,190",30,
32,WSE-01,"Digital Printed Khaddar Dupatta – 2.5 meters
Digital Printed Khaddar Shirt – 3 meters
Khaddar Dyed Bottom – 2.5 meters","PKR 4,557","PKR 3,190",30,
33,WNSS-02,Printed Model Viscose Shirt –1.75 meters,"PKR 1,414",PKR 990,30,
34,"2 PC Premium Fine Wash & Wear Fabric Maroon ELITE 58"" (O.S) N",Premium Fine Wash & Wear Fabric 4.5 MTR Suit,"PKR 3,672","PKR 2,387",35,
35,"2 PC Premium Fine Wash & Wear Fabric Black ELITE 58"" (O.S) N",Premium Fine Wash & Wear Fabric 4.5 MTR Suit,"PKR 3,672","PKR 2,754",25,
36,3PC Embroidered Khaddar Shirt with Dyed Trouser K-80,"Digital Printed Khaddar Dupatta – 2.5 meters
Embroidered Khaddar shirt with Embroidered front – 2.42 meters
Dyed Khaddar Bottom – 1.75 meters","PKR 5,500","PKR 3,850",30,
37,3PC Embroidered Khaddar Shirt with Dyed Trouser K-79,"Digital Printed Khaddar Dupatta – 2.5 meters
Embroidered Khaddar shirt with border and lace – 2.76 meters
Dyed Khaddar Bottom – 1.75 meters","PKR 6,500","PKR 4,550",30,
38,3PC Embroidered Khaddar Shirt with Dyed Trouser K-75,"Digital Printed Khaddar Dupatta – 2.5 meters
Embroidered Khaddar shirt with border and lace – 2.76 meters
Dyed Khaddar Bottom – 1.75 meters","PKR 6,500","PKR 4,550",30,
39,3PC Embroidered Khaddar Shirt with Dyed Trouser K-74,"Digital Printed Khaddar Dupatta – 2.5 meters
Embroidered Khaddar shirt with border – 2.93 meters
Dyed Khaddar Bottom – 1.75 meters","PKR 6,500","PKR 4,550",30,
40,3PC Embroidered Khaddar Shirt with Dyed Trouser K-72,"Digital Printed Khaddar Dupatta – 2.5 meters
Digital Printed Khaddar Shirt with Embroidered front and Neckline lace – 2.76 meters
Dyed Khaddar Bottom – 1.75 meters","PKR 5,500","PKR 3,850",30,
41,3PC Embroidered Khaddar Shirt with Dyed Trouser K-71,"Digital Printed Khaddar Dupatta – 2.5 meters
Digital Printed Khaddar Shirt with Embroidered front sleeves & lace– 2.76 meters
Dyed Khaddar Bottom – 1.75 meters","PKR 6,500","PKR 4,550",30,
42,3PC Digital Printed Khaddar Shirt with Digital Printed Trouser K-64,"Digital Printed Khaddar Dupatta – 2.5 meters
Digital Printed Khaddar Shirt with Tassels– 1.75 meters
Dyed Khaddar Bottom – 1.75 meters","PKR 4,900","PKR 3,430",30,
43,3PC Digital Printed Khaddar Shirt with Digital Printed Trouser K-63,"Digital Printed Khaddar Dupatta – 2.5 meters
Digital Printed Khaddar Shirt with Tassels– 1.75 meters
Dyed Khaddar Bottom – 1.75 meters","PKR 5,500","PKR 3,850",30,
44,3PC Digital Printed Khaddar Shirt with Digital Printed Trouser K-62,"Digital Printed Khaddar Dupatta – 2.5 meters
Digital Printed Khaddar Shirt with Tassels & Lace– 1.75 meters
Dyed Khaddar Bottom – 1.75 meters","PKR 4,900","PKR 3,430",30,
45,3PC Digital Printed Khaddar Shirt with Dyed Trouser K-61,"Digital Printed Khaddar Dupatta – 2.5 meters
Digital Printed Khaddar Shirt with Tassels – 1.75 meters
Dyed Khaddar Bottom – 1.75 meters","PKR 4,500","PKR 3,150",30,
46,3PC Digital Printed Khaddar Shirt with Digital Printed Trouser K-60,"Digital Printed Khaddar Dupatta – 2.5 meters
Digital Printed Khaddar Shirt with Tassels – 1.75 meters
Digital Khaddar Bottom – 1.75 meters","PKR 4,900","PKR 3,430",30,
47,Dark Beige SSM-28,"Tissue Silk Dupatta – 2.5 meters
Dyed Jacquard Shirt with Gota Dori Lace Patti Flower Button – 2.4 meters
Dyed Bottom – 1.75 meters","PKR 6,600","PKR 4,620",30,
48,Blue CBN-99 A,"Table Dupatta – 2.5 meters
Table Cambric Shirt – 1.75 meters
Dyed Bottom – 1.75 meters","PKR 3,290","PKR 2,303",30,
49,Cream CBN-96 B,"Rotary Dupatta – 2.5 meters  
Table Cambric Shirt – 1.75 meters
Dyed Bottom – 1.75 meters","PKR 3,290","PKR 2,303",30,
50,Green CBE-84,"Table Dupatta – 2.5 meters
Table Cambric Shirt with Neckline & Lace – 1.75 meters
Dyed Bottom – 1.75 meters","PKR 4,500","PKR 3,150",30,
51,Light Brown CBE-82,"Table Dupatta – 2.5 meters
Table Cambric Shirt with Neckline – 1.75 meters
Dyed Bottom – 1.75 meters","PKR 4,000","PKR 2,800",30,
52,White CBE-108,"Rotary Embroidered Chiefly Dupatta – 2.5 meters
Digital Printed Cambric Shirt – 3 meters
Digital Printed Bottom – 1.75 meters","PKR 5,500","PKR 3,850",30,
53,Lilac CBE-105,"Digital Dupatta – 2.5 meters
Digital Cambric Shirt Embroidered with Neckline – 1.75 meters
Dyed Bottom – 1.75 meters","PKR 4,500","PKR 3,150",30,
54,Ferozi BM-132,"Bamber Dupatta – 2.5 meters
Digital Cambric Shirt with Embroidered Front & Bunch – 3 meters
Dyed Bottom – 1.75 meters","PKR 6,900","PKR 4,830",30,
55,Green SCE-118,Embroidered Digital Printed Shirt: 1.75 meters,"PKR 3,190","PKR 2,233",30,
56,Green SCE-117,Embroidered Digital Printed Shirt with Embroidered Border: 1.75 meters,"PKR 3,790","PKR 2,653",30,
57,Yellow SL-773 B,Printed Shirt – 1.75 meters,"PKR 1,533",PKR 920,40,
58,Pink SL-772 B,Printed Shirt – 1.75 meters,"PKR 1,533",PKR 997,35,
59,Sea Green SL-771 B,Printed Shirt – 1.75 meters,"PKR 1,533",PKR 997,35,
60,Ash Grey SL-771 A,Printed Shirt – 1.75 meters,"PKR 1,533",PKR 997,35,
61,Yellow SL-765 A,Printed Shirt – 1.75 meters,"PKR 1,533",PKR 997,35,
62,Sea Green CL-654 A,"Printed Dupatta – 2.5 meters
Printed Shirt – 2.35 meters
Printed Sleeves – 0.65 meters
Dyed Bottom – 1.75 meters","PKR 3,800","PKR 2,470",35,
63,Green SL-775,Printed Shirt – 3 meters,"PKR 1,533",PKR 997,35,
64,Ferozi SL-770 B,Printed Shirt – 1.75 meters,"PKR 1,533",PKR 997,35,
65,Light Grey CL-662 B,"Printed Dupatta – 2.5 meters
Printed Shirt – 2.35 meters
Printed Sleeves – 0.65 meters
Dyed Bottom – 1.75 meters","PKR 3,800","PKR 2,470",35,
66,Sea Green CL-662 A,"Printed Dupatta – 2.5 meters
Printed Shirt – 2.35 meters
Printed Sleeves – 0.65 meters
Dyed Bottom – 1.75 meters","PKR 3,800","PKR 2,470",35,
67,Light Green CL-660 A,"Printed Dupatta – 2.5 meters
Printed Shirt – 2.35 meters
Printed Sleeves – 0.65 meters
Dyed Bottom – 1.75 meters","PKR 3,800","PKR 2,470",35,
68,Light Purple CL-659 B,"Printed Dupatta – 2.5 meters
Printed Shirt – 2.35 meters
Printed Sleeves – 0.65 meters
Dyed Bottom – 1.75 meters","PKR 3,800","PKR 2,470",35,
69,Light Pink CL-659 A,"Printed Dupatta – 2.5 meters
Printed Shirt – 2.35 meters
Printed Sleeves – 0.65 meters
Dyed Bottom – 1.75 meters","PKR 3,800","PKR 2,470",35,
70,Pink CL-658 B,"Printed Dupatta – 2.5 meters
Printed Shirt – 2.35 meters
Printed Sleeves – 0.65 meters
Dyed Bottom – 1.75 meters","PKR 3,800","PKR 2,470",35,
71,Off White CL-658 A,"Printed Dupatta – 2.5 meters
Printed Shirt – 2.35 meters
Printed Sleeves – 0.65 meters
Dyed Bottom – 1.75 meters","PKR 3,800","PKR 2,470",35,
72,Purple CL-655 A,"Printed Dupatta – 2.5 meters
Printed Shirt – 2.35 meters
Printed Sleeves – 0.65 meters
Dyed Bottom – 1.75 meters","PKR 3,800","PKR 2,470",35,
73,White SB-13,Cotton Printed Shirt – 1.75 meters,"PKR 1,350",PKR 945,30,
74,Black BT-10,"Cotton Printed Shirt – 1.75 meters 
Cotton Printed Bottom – 1.75 meters","PKR 2,600","PKR 1,820",30,
75,Black BM-130,"Bamber Printed Dupatta – 2.5 meters 
Cotton Printed Shirt – 1.175 meters 
Cotton Dyed Embroidered Shirt – 1.825 meters 
Cotton Dyed Bottom – 1.75 meters","PKR 6,500","PKR 4,550",30,
76,Off White B-55,"Cotton Printed Dupatta – 2.5 meters 
Cotton Printed Shirt – 1.75 meters 
Cotton Printed Bottom – 1.75 meters","PKR 3,450","PKR 2,415",30,
77,Black B-53,"Cotton Printed Dupatta – 2.5 meters 
Cotton Printed Shirt – 1.75 meters 
Cotton Printed Bottom – 1.75 meters","PKR 3,450","PKR 2,415",30,
78,White B-52,"Cotton Printed Dupatta – 2.5 meters 
Cotton Printed Shirt – 1.15 meters 
Cotton Dyed Embroidered Shirt – 0.6 meters 
Cotton Printed Bottom – 1.75 meters","PKR 4,000","PKR 2,800",30,
79,White B-50,"Cotton Printed Dupatta – 2.5 meters 
Cotton Printed Shirt – 1.2 meters 
Cotton Dyed Embroidered Shirt – 0.88 meters 
Cotton Dyed Bottom – 1.75 meters","PKR 5,000","PKR 3,500",30,
80,Light Pink EA-99,"Cotton Printed Dupatta – 2.5 meters
Cotton Silk Embroidered Shirt – 1.825 meters
Cotton Dyed Bottom – 1.75 meters
Polyester Embroidered Lace","PKR 14,250","PKR 10,688",25,
81,Off White EA-98,"Cotton Printed Dupatta – 2.5 meters
Cotton Silk Embroidered Shirt – 1.825 meters
Cotton Dyed Shirt – 1.5 meters
Cotton Dyed Bottom – 1.75 meters
Tassels","PKR 13,000","PKR 9,750",25,
82,Light Grey SL-752,Cotton Printed Shirt – 1.75 meters,"PKR 1,350",PKR 810,40,
83,Light Purple SL-750,Cotton Printed Shirt – 1.75 meters,"PKR 1,350",PKR 945,30,
84,Pista SL-746,Cotton Printed Shirt – 1.75 meters,"PKR 1,350",PKR 945,30,
85,Dark Green SL-744,Cotton Printed Shirt – 1.75 meters,"PKR 1,350",PKR 945,30,
86,Green SL-740,Cotton Printed Shirt – 1.75 meters,"PKR 1,350",PKR 945,30,
87,Cream SSM-25,"Tissue Silk Printed Dupatta – 2.5 meters
Cotton Printed Shirt – 1.2 meters
Cotton Printed Embroidered Shirt – 1.2 meters
Cotton Dyed Bottom – 1.75 meters
Polyester Embroidered Lace","PKR 4,615","PKR 3,231",30,
