,Name,Detail,Main-Description,Sub-Description,Old-Price,New-Price,Color,Fabric,All Sizes,Extra Detail
11,Light of Pearl,"Embroidered Front, Plain Back with Embroidered side slits, Full Sleeves, Band Neckline with Slit",Straight Kurta,This pure white kurta in delicate cotton net has an embellished placket and is decorated with hints of gold.,"Rs.3,990.00","Rs.2,593.50",White,Cotton Net,"XS,S,M,L,XL",
12,Limitless Sky,"Plain Front, Plain Back, Full Sleeves, Band Neck with Placket",Straight Kurta,"A vibrant sky blue kurta with a band collar, made from denim for an avant garde feel.","Rs.2,990.00","Rs.1,943.50",Sky Blue,Denim,"XS,S,M,L,XL",
13,Magnolia White,"Embroidered Front, Embroidered Back, Full Sleeves, Y Neckline",Straight Kurta,This elegant chikan kari kurta in pure white is an instant classic which can be paired with any of our dupattas for a unique look.,"Rs.3,990.00","Rs.2,593.50",White,Shifflee,"XS,S,M,L,XL",
14,Mint Breeze,"Embroidered Front, Embroidered Back, Full Sleeves, Band Neckline with Slit",Straight Kurta,"This versatile band-collared shirt comes in a refreshing shade of mint, with intricate embroidery along the front and back and tasselled placket details.","Rs.4,990.00","Rs.3,243.50",Mint Green,Shifflee,"XXS,XS,S,M,L,XL",
15,Pastel Beam,"Embroidered Front, Plain Back, Full Sleeves, Y Neckline",Straight Kurta,This kurta is made from a light pistachio-hued silky cotton net worked with delicate tea-pink embroidery. It features a Y neckline and beading on the sleeves.,"Rs.6,490.00","Rs.4,218.50",Green / Pistachio,Silk Cotton Net,"XS,S,M,L,XL",
16,Pastel Peace,"Embroidered Front, Plain Back, Full Sleeves, Round Neckline with Slit",Straight Kurta,"This silky cotton net kurta comes in the lightest shade of tea pink, with embroidery along the front and a flattering split round collar.","Rs.6,990.00","Rs.4,543.50",Pastel Tea Pink,Silk Cotton Net,"XS,S,M,L,XL",
17,Pastel Rum,"Embroidered Front, Embroidered Back, Full Sleeves, Band Neck with Placket",Straight Kurta,"This heavily embroidered shirt comes in a refreshing combination of lemon and white, with tasselled sleeve details and a band collar.","Rs.4,990.00","Rs.3,243.50",Yellow,Shifflee,"XS,S,M,L,XL",
18,Pistachio Florals,"Embroidered Front, Embroidered Back, Full Sleeves, Y Neckline",Straight Kurta,"A classic kurta with a Y-neckline and self embroidery, updated with the lightest wash of pistachio green.","Rs.4,990.00","Rs.3,243.50",Mint Green,Shifflee,"XS,S,M,L,XL",
19,Royal Boxers,"Embroidered Front, Plain Back, Full Sleeves, Band Neckline with Slit",Straight Kurta,"Featuring a split band collar and intricately detailed sleeves, this light seashell pink kurta is a modern classic.","Rs.5,990.00","Rs.3,893.50",White,Yarn Dyed Dobby Box,"XS,S,M,L,XL",
20,Blackish Galaxy,,Tulip Shalwar,This silky tulip shalwar comes in a jet-black shade with golden metallic edging.,"Rs.3,490.00","Rs.2,268.50",Black,Bemberg Grip,"XXS,XS,S,M,L,XL",
