,Name,Detail,Main-Description,Sub-Description,Old-Price,New-Price,Color,Fabric,All Sizes,Extra Detail
261,Admiral,"Plain Front with Lace on Hem, Plain Back with Lace on Hem, Full Sleeves, Round Neck with Split",Butterfly Styled Kurta,"Made from self-jacquard, this deep blue kurta features a butterfly cut and lace hemming.","Rs.3,190.00","Rs.1,595.00",Blue,Self Jacquard,"XXS,XS,S,M,L,XL",
262,Classic Royale,"Printed & Embroidered Front, Printed Back, Full Sleeves, Round Neck with Slit",Straight Kurta with Dupatta,A swirling pattern in dramatic fall tones makes this crepe weaved kurta an ideal transition weather piece.,"Rs.4,990.00","Rs.3,243.50",Blue,Crepe Weaved,"XXS,XS,S,M,L,XL",Textured Voil Dupatta Color: Blue
263,Subdued Bliss,"Printed & Embroidered Front, Printed Back, Full Sleeves, Ban Neck with Slit",Straight Kurta with Dupatta,This cheerful and bright printed plain linen kurta comes with a matching floral micro modal kurta.,"Rs.5,990.00","Rs.2,995.00",Multi,Plain Lilen,"XXS,XS,S,M,L,XL",Micro Modal Dupatta Color: Multi
264,Admiral White,"Embroidered Front, Plain back, Full Sleeves, Round Neck with Slit",Straight Kurta,"Inspired by indigenous blue pottery, this porcelain white kurta features embroidered blue accents.","Rs.6,990.00","Rs.3,495.00",White,Khaddar,"XXS,XS,S,M,L,XL",
265,Yellow Heritage,"Extra weft Jacquard Front, Extra Weft Jacquard Back, Full Sleeves, Y Neckline",Straight Kurta,This dreamy yellow Y-front kurta features an all-over embossed pattern along the front and back.,"Rs.3,990.00","Rs.2,593.50",Yellow,Cambric,"XXS,XS,S,M,L,XL",
266,Schiffli Sparkle,,Shalwar,This white dobby shalwar features elegant embroidered details.,"Rs.2,490.00","Rs.1,618.50",White,Dobby,"XXS,XS,S,M,L,XL",
267,Rusted Pop,,Culottes,These beige khaddar culottes feature light embroidered details.,"Rs.2,490.00","Rs.1,245.00",Beige,Khaddar,"XXS,XS,S,M,L,XL",
268,Nets and Swirls,,Culottes,These white dobby culottes feature delicate embroidered details.,"Rs.2,990.00","Rs.1,495.00",White,Dobby,"XXS,XS,S,M,L,XL",
269,Ladder Pitch,,Culottes,These black khaddar culottes are a must have for the weather.,"Rs.1,690.00","Rs.1,098.50",Black,Khaddar,"XXS,XS,S,M,L,XL",
270,Festive Mania,,Cigarette Pants,These white cigarette pants are crafted from cotton satin and feature embroidered details.,"Rs.2,990.00","Rs.1,495.00",White,Cotton Satin,"XXS,XS,S,M,L,XL",
271,Black Elegance,,Culottes,These glamorous black culottes feature dazzling embroidered details on a raw silk surface.,"Rs.3,990.00","Rs.1,995.00",Black,Raw Silk,"XXS,XS,S,M,L,XL",
272,Floral Tribute,"Embroidered Front, Embroidered Back, Full Sleeves, Round Neck with Slit",Straight Kurta,This lush watermelon delight comprises of a worked self jacquard kurta paired with floral accents.,"Rs.8,490.00","Rs.4,245.00",Peach,Self Jacquard,"XXS,XS,S,M,L,XL",
273,Magnolia Lace,"Printed Front, Printed Back, Full Sleeves, Ban Neck with Slit",Straight Kurta,"A vivid botanical display adorns this micro modal kurta,","Rs.2,790.00","Rs.1,395.00",Green,Micro Modal,"XXS,XS,S,M,L,XL","SIZE & FIT: Model Height: 5 Feet 9 Inches, 176 cm Model Wears: XS"
274,Navy Binge,"Printed Front with Embellished Neckline, Printed Back, Full Sleeves, Ban Neckline",Front Open Shirt,This bember grip piece features a printed design and embellished neckline styled in a front-open shirt.,"Rs.7,990.00","Rs.3,995.00",Navy,Bember Grip,"XXS,XS,S,M,L,XL","SIZE & FIT: Model Height: 5 Feet 9 Inches, 176 cm Model Wears: XS"
275,Peach Lace leaf,"Printed Front with Embellished Neckline, Printed Back, Full Sleeves, Boat Neck",Straight Kurta,"Crafted from a breezy shamoz silk, this peach printed kurta sports an embellished neckline and has an excellent drape.","Rs.8,990.00","Rs.4,495.00",Peach,Pure Silk Shamooz,"XXS,XS,S,M,L,XL","SIZE & FIT: Model Height: 5 Feet 4 Inches, 162.5 cm Model Wears: XS"
276,Green Mountain,"Printed & Embroidered Front, Printed Back, Full Sleeves, Round Neckline with Slit",Straight Kurta,This gorgeous green textured cotton kurta features whimsical floral and embroidered details.,"Rs.3,490.00","Rs.1,745.00",Green,Textured Cotton,"XXS,XS,S,M,L,XL","SIZE & FIT: Model Height: 5 Feet 9 Inches, 176 cm Model Wears: XS"
277,Aquamarine stone,"Embroidered Front, Plain Back, Full Sleeves, Boat Neck with Slit",Straight Kurta,A sprawling embroidered motif gives this aqua blended karandi kurta a delicate appeal.,"Rs.7,990.00","Rs.3,995.00",Aqua,Blended Karandi,"XXS,XS,S,M,L,XL","SIZE & FIT: Model Height: 5 Feet 4 Inches, 162.5 cm Model Wears: XS"
278,Pink Peony A,"Embroidered Front, Plain Back, Full Sleeves, Ban Neck with Placket",Straight Kurta,This unique raw silk look features a dash of sheer accents and a whole lot of embroidered detailing.,"Rs.6,990.00","Rs.3,495.00",Pink,Raw Silk,"XXS,XS,S,M,L,XL","SIZE & FIT: Model Height: 5 Feet 8 Inches, 172.7 cm Model Wears: XS"
279,Ocean Jewel,"Embroidered Front, Plain Back, Full Sleeves, Y Neckline",3-Piece Straight Kurta with Touser & Dupatta,"This solid oceanic masterpiece features an embroidered khaadi net shirt, raw silk culottes and a blended karandi dupatta.","Rs.14,990.00","Rs.7,495.00",Cadet Blue,Khaddi Net,"XXS,XS,S,M,L,XL",
280,Daffodils - Trouser,,Boot Cut Pants,These raw silk boot cut trousers feature a bold jewel toned pattern.,"Rs.3,490.00","Rs.1,745.00",Off-White,Raw Silk,"XXS,XS,S,M,L,XL",
281,Glittering Oasis - Trouser,,Boot Cut Pants,These beige cotton satin trousers come in a fun boot cut and feature an athletic stripe.,"Rs.2,490.00","Rs.1,245.00",Beige,Cotton Satin,"XXS,XS,S,M,L,XL",
282,Aquamarine Blue,"Embroidered Front, Plain Back, Full Sleeves, Ban Neckline",Straight Kurta,White sea-shell coloured embroidered details and decorative accents adorn this gorgeous light blue jacquard cotton shirt.,"Rs.4,990.00","Rs.2,495.00",Light Blue,Extra Weft Jacquard Cotton,"XXS,XS,S,M,L,XL","SIZE & FIT: Model Height: 5 Feet 9 Inches, 176 cm Model Wears: Xs"
283,Pastel Garden Bloom,"Embroidered Front, Plain Back, Full Sleeves, Ban Neck with Buttons",Straight Kurta,This pale peach kurta is crafted from jacquard cotton and features a heavily worked front.,"Rs.5,490.00","Rs.2,745.00",Peach,Extra Weft Jacquard Cotton,"XXS,XS,S,M,L,XL","SIZE & FIT: Model Height: 5 Feet 9 Inches, 176 cm Model Wears: XS"
284,Traditional Green,"Embroidered Front, Printed Back, Full Sleeves, Ban Neck with Slit",Straight Kurta,This blended grip silk comes in a demure pale green colour and features embroidered pink blossoms.,"Rs.7,990.00","Rs.3,995.00",Light Olive Green,Blended Grip Silk,"XXS,XS,S,M,L,XL","SIZE & FIT: Model Height: 5 Feet 9 Inches, 176 cm Model Wears: XS"
285,Glooming Green-Trouser,,Culottes,These light blue culottes feature linear embroidered details.,"Rs.2,790.00","Rs.1,395.00",Light Blue,Cotton,"XS,S,M,L,XL,XXS","SIZE & FIT: Model Height: 5 Feet 8 Inches, 172.7 cm Model Wears: XS"
286,Pink Fluence,"Embroidered Front, Plain Back, Full Sleeves, Round Neckline with Slit",Straight Kurta,This rose pink textured cotton shirt features tastefully minimalist embroidery.,"Rs.4,990.00","Rs.2,495.00",Pink,Textured Cotton,"XXS,XS,S,M,L,XL","SIZE & FIT: Model Height: 5 Feet 8 Inches, 172.7 cm Model Wears: XS"
287,Black Circle,"Printed Front with Embroidered Neckline, Printed Back, Y Neckline, Full Sleeves",Straight Kurta,"This black textured cotton kurta features a delightful design, ideal for a fun summer look.","Rs.2,790.00","Rs.1,395.00",Black,Textured Cotton,"XXS,XS,S,M,L,XL",Style Note:  Pair this gorgeous top with a solid coloured bottom.
288,Army Camouflage,"Plain Front, Plain Back, Full Sleeves, Band Neckline with Slit",Straight Kurta,This grey-blue denim shirt takes its inspiration from military aesthetics with its band collar and camo feel.,"Rs.3,490.00","Rs.2,268.50",Blue,Denim,"XS,S,M,L,XL",
289,Ashen Terrain,"Plain Front, Plain Back, Full Sleeves, Band Neckline",Front Open Shirt,This solid slate-grey linen shirt is minimal and chic with its open front cut.,"Rs.3,990.00","Rs.1,995.00",Light Grey,Lilen,"XS,S,M,L,XL",
290,Blooming Wave,"Embroidered Front, Embroidered Back, Full Sleeves, Round Neckline with Placket",Straight Kurta,"This intricately embroidered cotton candy pink shirt is worked all over in white thread, and features a flattering round neck and beaded details along the hem.","Rs.4,990.00","Rs.3,243.50",Pink,Shifflee,"XS,S,M,L,XL",
291,Blue Rampage,"Printed Front, Printed Back, Full Sleeves, Band Neck with Placket",Straight Shirt with Round Hem,"This versatile short shirt has a classic band collar and a chic rounded hem, and is made from dark lightweight denim.","Rs.2,790.00","Rs.1,813.50",Blue,Denim,"XS,S,M,L,XL",
292,Bohemian Lore,"Embroidered Front, Plain Back, Full Sleeves with Embroidery, V Neckline",Front Slit Shirt,This lush lemon-yellow self-jacquard piece has a flattering V-neckline and features wreaths of contrasting crimson embroidery on the front and sleeves.,"Rs.3,490.00","Rs.2,268.50",Yellow,Self Jacquard,"XXS,XS,S,M,L,XL",
293,Denim Blue,"Plain Front, Plain Back, Full Sleeves, V Neckline with Zip",Straight Shirt with Round Hem,"This fashion-forward kurta is made from blue denim, with a flattering V-neck and a zipper closure.","Rs.3,490.00","Rs.2,268.50",Blue,Denim,"XS,S,M,L,XL",
294,Dream Spark,"Plain Front with Embroidered Neck motif, Plain Back, Full Sleeves, Y Neckline",Straight Kurta,The embroidered motif on the Y-neckline of this candy-pink cotton kurta adds major style points.,"Rs.3,990.00","Rs.2,593.50",Pink,Cotton,"XS,S,M,L,XL",
295,Florence Pink,"Embroidered Front, Embroidered Back, Full Sleeves, V Neckline",Angrakha,This soft peach-pink angrakha has a white tassel tie to complement its embroidered ivory motifs.,"Rs.6,990.00","Rs.4,543.50",Peach,Shifflee,"XS,S,M,L,XL",
296,Gem Stone,"Plain Front with Embroidered Neckline, Plain Back, Full Sleeves with Embroidery, Y Neckline",Straight Kurta,"This organza jacquard confection is a vibrant emerald green, and features darker lacy motifs on the sleeves.","Rs.7,990.00","Rs.5,193.50",Emerald,Organza Jacquard,"XS,S,M,L,XL",
297,Glaucus,"Plain Front, Plain Back, Full Sleeves, Band Neckline with Split",Straight Kurta,This East-meets-West piece combines slate-blue denim with white piping and a split band collar for the perfect fusion look.,"Rs.2,790.00","Rs.1,813.50",Grey,Denim,"XS,S,M,L,XL",
298,Ivory Mahal,"Paste Printed Front, Paste Printed Back, Full Sleeves with Cuff, Band Neck with Placket",Straight Kurta,"The classic ivory and gold combination of this kurta makes it a timeless piece: it features cuffed sleeves, a band collar and golden motifs across the front and back.","Rs.5,490.00","Rs.3,568.50",Ivory,Raw Silk,"XXS,XS,S,M,L,XL",
299,Light of Pearl,"Embroidered Front, Plain Back with Embroidered side slits, Full Sleeves, Band Neckline with Slit",Straight Kurta,This pure white kurta in delicate cotton net has an embellished placket and is decorated with hints of gold.,"Rs.3,990.00","Rs.2,593.50",White,Cotton Net,"XS,S,M,L,XL",
300,Limitless Sky,"Plain Front, Plain Back, Full Sleeves, Band Neck with Placket",Straight Kurta,"A vibrant sky blue kurta with a band collar, made from denim for an avant garde feel.","Rs.2,990.00","Rs.1,943.50",Sky Blue,Denim,"XS,S,M,L,XL",
301,Magnolia White,"Embroidered Front, Embroidered Back, Full Sleeves, Y Neckline",Straight Kurta,This elegant chikan kari kurta in pure white is an instant classic which can be paired with any of our dupattas for a unique look.,"Rs.3,990.00","Rs.2,593.50",White,Shifflee,"XS,S,M,L,XL",
302,Mint Breeze,"Embroidered Front, Embroidered Back, Full Sleeves, Band Neckline with Slit",Straight Kurta,"This versatile band-collared shirt comes in a refreshing shade of mint, with intricate embroidery along the front and back and tasselled placket details.","Rs.4,990.00","Rs.3,243.50",Mint Green,Shifflee,"XXS,XS,S,M,L,XL",
303,Pastel Beam,"Embroidered Front, Plain Back, Full Sleeves, Y Neckline",Straight Kurta,This kurta is made from a light pistachio-hued silky cotton net worked with delicate tea-pink embroidery. It features a Y neckline and beading on the sleeves.,"Rs.6,490.00","Rs.4,218.50",Green / Pistachio,Silk Cotton Net,"XS,S,M,L,XL",
304,Pastel Peace,"Embroidered Front, Plain Back, Full Sleeves, Round Neckline with Slit",Straight Kurta,"This silky cotton net kurta comes in the lightest shade of tea pink, with embroidery along the front and a flattering split round collar.","Rs.6,990.00","Rs.4,543.50",Pastel Tea Pink,Silk Cotton Net,"XS,S,M,L,XL",
305,Pastel Rum,"Embroidered Front, Embroidered Back, Full Sleeves, Band Neck with Placket",Straight Kurta,"This heavily embroidered shirt comes in a refreshing combination of lemon and white, with tasselled sleeve details and a band collar.","Rs.4,990.00","Rs.3,243.50",Yellow,Shifflee,"XS,S,M,L,XL",
306,Pistachio Florals,"Embroidered Front, Embroidered Back, Full Sleeves, Y Neckline",Straight Kurta,"A classic kurta with a Y-neckline and self embroidery, updated with the lightest wash of pistachio green.","Rs.4,990.00","Rs.3,243.50",Mint Green,Shifflee,"XS,S,M,L,XL",
307,Royal Boxers,"Embroidered Front, Plain Back, Full Sleeves, Band Neckline with Slit",Straight Kurta,"Featuring a split band collar and intricately detailed sleeves, this light seashell pink kurta is a modern classic.","Rs.5,990.00","Rs.3,893.50",White,Yarn Dyed Dobby Box,"XS,S,M,L,XL",
308,Blackish Galaxy,,Tulip Shalwar,This silky tulip shalwar comes in a jet-black shade with golden metallic edging.,"Rs.3,490.00","Rs.2,268.50",Black,Bemberg Grip,"XXS,XS,S,M,L,XL",
309,Red Wood,"Embroidered Front, Plain Back, Full with Embroidery, Boat Neck",Straight Kurta,"This longline kurta with a boat neck comes in rosy jacquard, and features linear dark embroidered patterns.","Rs.4,990.00","Rs.3,243.50",Red,Self Jacquard,"XXS,XS,S,M,L,XL",
310,Green Fobia,"Embroidered Front, Plain Back with Embroidered Hem, Full with Embroidery, Round Neck with Slit",Front Slit Shirt,This deep teal crepe piece is the opposite of demure with its sensuous black lace detailing and split neckline.,"Rs.6,990.00","Rs.4,543.50",Green,Crepe Weaved,"XS,S,M,L,XL",
311,Mustard Mania,"Embroidered Front, Embroidered Back, Full with Embroidered Cuff, Y Neckline",Straight Kurta,This jacquard kurta with a Y-neckline comes in a vibrant ochre shade with contrasting round embroidered motifs.,"Rs.4,490.00","Rs.2,918.50",Mustard,Self Jacquard,"XS,S,M,L,XL",
312,Ice Pink,"Embroidered Front, Plain Back, Full with Embroidered Border, Wrap Arround Neck",Angrakha,"A delicate sea green khaddar angrakha, with an embroidered wrap neckline and intricately worked motifs across the front.","Rs.3,990.00","Rs.2,593.50",Sea Green,Khaddar,"XXS,XS,S,M,L,XL",
313,Glimmering Garden,"Embroidered Front, Embroidered Back, Full with Embroidered Border, Y Neckline",Straight Kurta,Geometric crimson motifs and cuff detailing adorn this off-white jacquard kurta.,"Rs.4,990.00","Rs.3,243.50",Off-White,Self Jacquard,"XXS,XS,S,M,L,XL",
314,Black Frost,,Straight Pants,These straight-cut trousers come in jet black raw silk.,"Rs.4,490.00","Rs.2,918.50",Black,Raw Silk,"XS,S,M,L,XL",
315,Stone age Glow,,Tulip Shalwar,An elegant white tulip shalwar in raw silk with delicate embroidered motifs.,"Rs.3,990.00","Rs.2,593.50",White,Raw Silk,"XXS,XS,S,M,L,XL",
316,Glowing Star,,Cigarette Pants,These black cigarette pants in raw silk are bedazzled with golden floral embroidery.,"Rs.4,490.00","Rs.2,918.50",Black,Raw Silk,"XXS,XS,S,M,L,XL",
317,Belgian,,Cigarette Pants,Raw silk cigarette trousers in a cream hue with dazzling silver embroidery along the hem.,"Rs.3,990.00","Rs.2,593.50",Cream,Raw Silk,"XXS,XS,S,M,L,XL",
318,Amazing Gardenia,"Embroidered Front, Printed Back, Full Sleeves with Embroidery, Round Neckline with Slit",Straight Kurta,This funky kurta is an ode to springtime with its whimsical tree print and marigold hue.,"Rs.3,990.00","Rs.2,593.50",Yellow,Cotton Karandi,"XXS,XS,S,M,L,XL",
319,Afghan Craze,"Printed Front, Printed Back, Full Sleeves, Round Neckline with Slit",Straight Kurta,Multi-width stripes in neutral prints make for a statement print on this satin kurta.,"Rs.2,990.00","Rs.1,943.50",Grey,Cotton Satin,"XS,S,M,L,XL",
320,Melange Ocean,"Plain Front, Plain Back, Full Sleeves, Round Neckline with Slit",Straight Kurta,This stylish piece mixes deep teal and splashes of crimson for a fresh take on casual.,"Rs.2,990.00","Rs.1,943.50",Sea Green,Melange,"XXS,XS,S,M,L,XL",
321,Sheer Elegance,"Printed & Embroidered Front, Printed Back, Full Sleeves with Embroidered Patti, Round Neckline with Slit",2-Piece Straight Shirt with Dupatta,Opulent off-white printed twill is worked with embroidery for this beautiful kurta. It comes with a matching printed shawl.,"Rs.5,990.00","Rs.3,893.50",Off White,Twill,"XXS,XS,S,M,L,XL",Printed Shawl Color: Off White
322,Aspiring Dream,"Printed Front, Printed Back, Full Sleeves, Band Neck with Buttons",Straight Kurta,This subdued navy twill kurta has a buttoned band collar and is strategically printed along the sleeves and hem.,"Rs.2,790.00","Rs.1,813.50",Blue,Twill,"XS,S,M,L,XL",
323,Gleaming Swirl,"Embroidered Front, Plain Back with Embroidered Hem, Full Embroidered Sleeves, Round Neckline with Slit",Straight Kurta,This luxuriously embroidered longline kurta is a statement piece in tantalizing red.,"Rs.7,990.00","Rs.5,193.50",Red,Masori Cotton Sheen,"XS,S,M,L,XL",
324,Melange Olive,"Plain Front, Plain Back, Full Sleeves, Band Neck with Slit",Straight Kurta,The band collar on this military green piece gives this kurta a utilitarian chic feel.,"Rs.2,990.00","Rs.1,495.00",Olive,Melange,"XXS,XS,S,M,L,XL",
325,Melange Blue,"Plain Front, Plain Back, Full Sleeves, Band Neck with Slit",Straight Kurta,Moody blue melange makes for the perfect wintry kurta.,"Rs.2,990.00","Rs.1,943.50",Blue,Melange,"XXS,XS,S,M,L,XL",
326,Blackwood,"Plain Front, Plain Back, Full Sleeves, Lapel Neckline",Front Open Jacket,This minimalist black cambric jacket has long lapels and an unstructured style.,"Rs.3,990.00","Rs.1,995.00",Black,Cambric,"XS,S,M,L,XL",
327,Tropicana Beige,"Printed Front, Printed Back, Full Sleeves, Round Neckline",Straight Kurta with Side Tassels,This zesty khaddar kurta features side tassel detailing and an oriental pattern in shades of blue.,"Rs.2,790.00","Rs.1,813.50",Mustard,Khaddar,"XS,S,M,L,XL",
328,Astonished Look,"Embroidered Front, Embroidered Back, Full Sleeves, Lapel Neckline",Short Jacket,An ethnic-inspired short jacket in moody tones with a stylish emerald green lapel.,"Rs.4,490.00","Rs.2,918.50",Black,Khaddar,"XS,S,M,L,XL",
329,White Glimmer,"Embroidered Front, Plain Back, Full Sleeves with Embroidered Patti, Y Neckline",Straight Kurta,A surplice-style kurta in pale ballerina pink with elegant embroidery,"Rs.7,990.00","Rs.5,193.50",White,Box Organza,"XS,S,M,L,XL",
330,Multiline,"Printed Front, Printed Back, Full Sleeves, Y Neckline",Straight Kurta,A longline Y neck crepe kurta with a vibrant botanical pattern on a slate blue base.,"Rs.2,790.00","Rs.1,813.50",Blue,Crepe,"XXS,XS,S,M,L,XL",
331,Pink Maze,"Plain Front, Plain Back, Full Sleeves, Band Neck with Slit",Straight Kurta,This salmon pink tunic is trimmed with black and has a split band collar.,"Rs.5,990.00","Rs.2,995.00",Pink,Bember Grip,"XXS,XS,S,M,L,XL",
332,Night Lights Black,"Printed Front with Embellishment, Printed Back, Full Sleeves, Round Neckline with Slit",Straight Kurta,This embellished piece provides the perfect black backdrop to lift up vintage floral details.,"Rs.6,990.00","Rs.4,543.50",Black,Bember Grip,"XS,S,M,L,XL",
333,Black Circus,"Embroidered Front, Printed back with Embroidered Hem, Full Sleeves with Embroidered Patti, Round Neckline with Slit",2-Piece Straight Shirt with Dupatta,"Embroidery on the front and borders bedeck this bold black and crimson twill kurta, which comes with a matching shawl.","Rs.7,990.00","Rs.5,193.50",Red And Black,Twill,"XXS,XS,S,M,L,XL",Printed Shawl Color: Red And Black
334,Traditional Glimmer,"Embroidered Front, Plain Back, Full Sleeves with Embroidery, Round Neckline",2-Piece Straight Shirt with Trouser,"A rosy pink embroidered kurta with a round neck and relaxed fit, paired with raw silk cigarette pants.","Rs.8,990.00","Rs.5,843.50",Pink,Masori Cotton Sheen,"XS,S,M,L,XL",Cigarette Pants Color: Pink Fabric: Blended Raw Silk
335,Daily A,,Boot Cut Pants,Black boot cut trousers in raw silk with graphic contrasting piping.,"Rs.2,490.00","Rs.1,245.00",Black,Viscose Raw Silk,"XXS,XS,S,M,L,XL",
336,Miso 2-A,,Straight Pants,Raw silk trousers in a jet black with a straight leg.,"Rs.2,490.00","Rs.1,245.00",Black,Viscose Raw Silk,"XXS,XS,S,M,L,XL",
337,Blue Scenery,,Straight Pants,A graphic line print in a darker grey tone adorns these grey-blue cotton trousers.,"Rs.1,690.00","Rs.1,098.50",Blue,Dobby,"XXS,XS,S,M,L,XL",
338,Boho Tribal,,Culottes,These bohemian printed cotton trousers are airy and chic.,"Rs.1,690.00","Rs.1,098.50",Blue,Dobby,"XXS,XS,S,M,L,XL",
339,Creaming Light,,Cigarette Pants,Elegant cream-hued trousers with a straight leg and a panel of embroidery along the hem.,"Rs.2,490.00","Rs.1,618.50",White,Khaddar,"XXS,XS,S,M,L,XL",
340,Dutch Iris,,Straight Pants,These off-white cotton trousers have a contrasting side stripe and a straight leg.,"Rs.1,690.00","Rs.1,098.50",Off-White,Dobby,"XXS,XS,S,M,L,XL",
341,Gold Charisma,,Boot Cut Pants,These elegant cream jacquard trousers boast a boot cut and detailing parallel to the hem.,"Rs.2,490.00","Rs.1,618.50",Off-White,Extra Weft Jacquard,"XXS,XS,S,M,L,XL",
342,Mustard Pop,,Cigarette Pants,These jet black cigarette trousers create a perfect background for ochre embroidery.,"Rs.2,490.00","Rs.1,618.50",Black,Khaddar,"XXS,XS,S,M,L,XL",
343,Whitish Mania,,Cigarette Pants,Embroidered white cigarette pants in lush khaddar fabric.,"Rs.2,490.00","Rs.1,618.50",White,Khaddar,"XXS,XS,S,M,L,XL",
344,White Peacocks,,Boot Cut Pants,White boot-cut trousers in khaddar are a flattering addition to any wardrobe.,"Rs.2,490.00","Rs.1,618.50",White,Khaddar,"XXS,XS,S,M,L,XL",
345,Silky Elegance - Off White,,Boot Cut Pants,Raw silk boot cut trousers in a soft off-white hue with added details along the hem.,"Rs.2,490.00","Rs.1,618.50",Off-White,Viscose Raw Silk,"XXS,XS,S,M,L,XL",
346,Silky Elegance - Beige,,Boot Cut Pants,Versatile beige raw silk trousers with a trendy boot cut.,"Rs.2,490.00","Rs.1,618.50",Beige,Viscose Raw Silk,"XXS,XS,S,M,L,XL",
347,Moon Glory - White,,Boot Cut Pants,White cambric trousers in a flattering boot cut.,"Rs.1,450.00",Rs.942.50,White,Cambric,"XXS,XS,S,M,L,XL",
348,Ming - White,,Cigarette Pants,Snow white cigarette pants in a luxe raw silk fabric.,"Rs.2,490.00","Rs.1,618.50",White,Viscose Raw Silk,"XXS,XS,S,M,L,XL",
349,Ming - Black,,Cigarette Pants,Onyx black silk makes for luxuriant cigarette pants.,"Rs.2,490.00","Rs.1,618.50",Black,Viscose Raw Silk,"XXS,XS,S,M,L,XL",
350,Almond - White,,Cigarette Pants,Cigarette pants in an elegant white raw silk.,"Rs.2,490.00","Rs.1,618.50",White,Viscose Raw Silk,"XXS,XS,S,M,L,XL",
351,Floric Geometry,"Embroidered Front, Embroidered Back, Full Sleeves with Embroidery, Boat Neck with Split",Straight High Low Shirt,"An ivory khaddar piece sporting a split boat neck, tangerine edging, and refreshing floral motifs.","Rs.3,990.00","Rs.1,995.00",Green,Khaddar,"XXS,XS,S,M,L,XL",
352,Multimedia Maze,"Printed Front, Printed Back, Full Sleeves, Boat Neckline with Slit",2-Piece Straight Shirt with Trouser,This edgy patterned linen kurta comes with simple black cambric trousers to keep all eyes on its statement print.,"Rs.3,990.00","Rs.1,995.00",Multi,Lilen,"XS,S,M,L,XL",Straight Pants Color: Multi Fabric: Cambric
353,Winter Heritage,"Printed & Embroidered Front, Printed Back, Full Sleeves, Band Neck with Slit",Straight Shirt,This tribal print steel grey khaddar creation features crimson detailing.,"Rs.3,990.00","Rs.2,593.50",Grey,Khaddar,"XXS,XS,S,M,L,XL",
354,Misty Noir,"Embroidered Front, Plain Back, Full Sleeves, Band Neck with Split",Straight Shirt,"A cotton karandi kurta in the palest shade of grey, with an abstract black print reminiscent of dandelions.","Rs.3,990.00","Rs.2,593.50",Light Grey,Cotton Karandi,"XXS,XS,S,M,L,XL",
355,Zirconia Love,,Straight Pants,Basic black trousers gets an update with green trails printed along them.,"Rs.1,790.00",Rs.895.00,Black & Green,Cambric,"XXS,XS,S,M,L,XL",
356,Oia Stroll,,Cigarette Pants,These white cambric cigarette pants get an upgrade with an ornate floral border.,"Rs.1,790.00","Rs.1,163.50",White,Cambric,"XXS,XS,S,M,L,XL",
357,White Surface,,Cigarette Pants,These white cambric cigarette pants have an athleisure feel with their black side-stripe.,"Rs.1,690.00",Rs.845.00,White,Slub Cambric,"XXS,XS,S,M,L,XL",
358,Pleats Please,,Boot Cut Pants,Stylish cotton trousers with a flared boot cut in a cool ivory hue.,"Rs.1,690.00",Rs.845.00,Off White,Slub Cambric,"XXS,XS,S,M,L,XL",
359,Iznik Love,,Boot Cut Pants,These black cambric trousers sport a boot cut and lacy white contrasting details.,"Rs.2,490.00","Rs.1,618.50",Black,Cambric,"XXS,XS,S,M,L,XL",
360,Galactic,,Boot Cut Pants,These soft cambric trousers come in an indigo hue.,"Rs.1,490.00",Rs.745.00,Navy,Slub Cambric,"XXS,XS,S,M,L,XL",
361,Buttoned Up,,Straight Pants,These straight trousers in navy blue get added style points for button-up hems.,"Rs.1,690.00","Rs.1,098.50",Navy,Slub Cambric,"XXS,XS,S,M,L,XL",
362,Dove Black,,Boot Cut Pants,"These cambric trousers in black boast a chic white stripe down the side, accentuating their boot cut.","Rs.1,690.00",Rs.845.00,Black,Slub Cambric,"XXS,XS,S,M,L,XL",
363,Green Cherry,"Printed & Embroidered Front, Printed Back, Full Sleeves, Ban Neckline with Slit",3-Piece Straight Shirt with Trouser & Dupatta,"This three piece floral inspired look features both embroidered and printed accents, and comprises of a dobby shirt, slub cambric trouser and viscose chiffon dupatta.","Rs.6,990.00","Rs.3,495.00",Green,Dobby,"XXS,XS,S,M,L,XL",
364,Fusion lines,"Printed & Embroidered Front, Printed Back, Full Sleeves, Boat Neck with Side Slit",3-Piece Straight Shirt with Trouser & Dupatta,"This three piece floral inspired look features both embroidered and printed accents, and comprises of a textured cotton shirt, slub cambric trouser and viscose chiffon dupatta.","Rs.6,990.00","Rs.4,543.50",Light Blue,Textured Cotton,"XXS,XS,S,M,L,XL",
365,Exotic Sangria,"Embroidered Front, Plain back with Embroidered Hem, Full Sleeves with Embroidery, Y Neckline",Straight Kurta,This crushed pink look comprises of a Y-front kurta made from extra weft jacquard featuring embroidered details.,"Rs.5,990.00","Rs.2,995.00",Pink,Extra Weft Jacquard,"XXS,XS,S,M,L,XL",
366,Dream Flower,"Printed front with Embellishment, Printed Back, Full Sleeves, Y Neckline",Straight Kurta with Front Slit,This minty fresh blended grip kurta features a delightful print and embellished details.,"Rs.5,490.00","Rs.3,568.50",Mint,Blended Grip,"XS,S,M,L,XL",
367,Mustard Glory,"Embroidered Front, Plain Back, Full Sleeves, Ban Neckline with Slit",Straight Kurta,This mustard box organza kurta features embroidered details and a band neckline.,"Rs.7,990.00","Rs.5,193.50",Mustard,Box Organza,"XXS,XS,S,M,L,XL",
