,Name,Detail,Main-Description,Sub-Description,Old-Price,New-Price,Color,Fabric,Types,All Sizes
94,Nightshade,"Plain Front with Embroidered Arm Hole, Plain Back, Full Sleeves, Band Neckline",Straight Kurta,"An inky black cotton kurta with embroidered details on the front and back, and a band collar.","Rs.2,790.00","Rs.1,813.50",Black,100% Cotton Dobby,"Regular Fit,Slim Fit","XS,S,M,L,XL"
95,Timber,"Plain Front,  Plain Back with embroidered Yoke, Full Sleeves, Band Neckline",Straight Kurta,A woody hued 100% cotton dobby kurta featuring a band collar and embroidery on the back yoke.,"Rs.2,790.00","Rs.1,813.50",Brown,100% Cotton Dobby,"Regular Fit,Slim Fit","XS,S,M,L,XL"
96,Vine,"Plain Front, Plain Back, Full Sleeves, Band Neckline",Straight Kurta,"This kurta comes in a rich bordeaux shade, and boasts a band collar.","Rs.2,990.00","Rs.1,943.50",Burgundy,100% Cotton Dobby,"Regular Fit,Slim Fit","XS,S,M,L,XL"
97,Midnight,"Plain front with Embroidered Placket, Plain Back, Full Sleeves, Band Neckline",Straight Kurta,A deep navy 100% cotton dobby piece with a band collar and embroidery along the placket.,"Rs.2,990.00","Rs.1,943.50",Navy,100% Cotton Dobby,"Regular Fit,Slim Fit","XS,S,M,L,XL"
98,Noir Homme,"Embroidered Front, Embroidered Back, Full Sleeves, Band Neckline",Straight Kurta,This jet black piece boasts rich embroidery over 100% fine cotton herringbone.,"Rs.4,490.00","Rs.2,918.50",Black,100% Fine Cotton Herring Bone,"Regular Fit,Slim Fit","XS,S,M,L,XL"
99,Jungle,"Plain Front, Plain Back, Full Sleeves, Collared Neck, Plain Shalwar",2-Piece Kurta Shalwar,This fine cotton herringbone set includes a kurta that comes in a deep green and features a shirt collar.,"Rs.3,990.00","Rs.2,593.50",Dark Green,100% Fine Cotton Herring Bone,"Regular Fit,Slim Fit","XS,S,M,L,XL"
100,Beryl,"Embroidered Front, Embroidered Back, Full Sleeves, Band Neckline",Straight Kurta,A fine herringbone kurta in a mauve hue with embroidery all over and a band collar.,"Rs.4,490.00","Rs.2,918.50",Mauve,100% Fine Cotton Herring Bone,"Regular Fit,Slim Fit","XS,S,M,L,XL"
101,Safari,"Plain Front with Embroidered Neckline & Placket, Plain Back, Full Sleeves, Band Neckline",Straight Kurta,Classic khaki khaddar gets a style boost with embroidery along the neckline and placket.,"Rs.2,790.00","Rs.1,813.50",Khaki,100% Cotton Khaddar,"Regular Fit,Slim Fit","XS,S,M,L,XL"
102,Dianthus,"Embroidered Front, Plain Back, Full Sleeves, Band Neckline",Straight Kurta,Intricate embroidery elevates this magenta hued herringbone piece.,"Rs.3,990.00","Rs.2,593.50",Magenta,100% Fine Cotton Herring Bone,"Regular Fit,Slim Fit","XS,S,M,L,XL"
103,Alabaster,"Embroidered Front, Plain Back, Full Sleeves, Band Neckline",Straight Kurta,"This kurta has a band collar and is completely embroidered, and comes in snowy white herringbone.","Rs.4,490.00","Rs.2,918.50",White,100% Fine Cotton Herring Bone,"Regular Fit,Slim Fit","XS,S,M,L,XL"
104,Merlot,"Plain Front with Embroidered Neckline, Plain Back, Full Sleeves, Band Neckline",Straight Kurta,"This kurta is worked from jacquard in a merlot tone, and features embroidery along the neckline.","Rs.2,290.00","Rs.1,488.50",Maroon,100% Cotton Jacquard,"Regular Fit,Slim Fit","XS,S,M,L,XL"
105,Magna,"Plain Front, Plain Back, Full Sleeves, Collared Neck, Plain Trouser",2-Piece Kurta Trouser,A magenta piece with a classic collar in 100% fine cotton herringbone with matching trousers.,"Rs.3,990.00","Rs.2,593.50",Magenta,100% Fine Cotton Herring Bone,"Regular Fit,Slim Fit","XS,S,M,L,XL"
106,Preto,"Plain Front with Embroidered Neckline, Plain Back, Full Sleeves, Band Neckline",Straight Kurta,"This kurta is hewn from fine cotton herringbone in an ebony hue, and featured an embroidered neckline.","Rs.2,490.00","Rs.1,618.50",Black,100% Fine Cotton Herring Bone,"Regular Fit,Slim Fit","XS,S,M,L,XL"
107,Vinyl,"Embroidered Front, Plain Back, Full Sleeves, Band Neckline",Straight Kurta,"This inky herringbone piece is covered in embroidery, and features a band collar.","Rs.3,990.00","Rs.2,593.50",Black,100% Fine Cotton Herring Bone,"Regular Fit,Slim Fit","XS,S,M,L,XL"
108,Antique Oak,"Plain Front, Plain Back, Band Neckline",Waist Coat,This luxurious but versatile camel waistcoat is made from 100% premium melange cotton.,"Rs.3,990.00","Rs.2,593.50",Camel,100% premium melange cotton,"XXL,Regular Fit","S,M,L,XL"
109,Slate,"Plain Front, Plain Back, Full Sleeves, Collared Neck, Plain Shalwar",2-Piece Kurta Shalwar,A dark grey herringbone kurta with a classic collar and matching bottom.,"Rs.3,990.00","Rs.2,593.50",Dark Grey,100% Fine Cotton Herring Bone,"Regular Fit,Slim Fit","XS,S,M,L,XL"
110,Harbor,"Plain Front with Embroidery on Placket, Plain Back, Full Sleeves, Band Neckline, Plain Shalwar",2-Piece Kurta Shalwar,This teal kurta with a band collar comes in 100% fine cotton herringbone with a matching bottom.,"Rs.3,990.00","Rs.2,593.50",Teal Blue,100% Fine Cotton Herring Bone,"Regular Fit,Slim Fit","XS,S,M,L,XL"
111,Gravel,"Plain Front, Plain Back, Full Sleeves, Collared Neck, Plain Shalwar",2-Piece Kurta Shalwar,This classic grey ensemble is 100% premium melange cotton.,"Rs.4,990.00","Rs.2,918.50",Grey,100% premium melange cotton,"Regular Fit,Slim Fit","XS,S,M,L,XL"
112,Rich Ivory,"Plain Front, Plain Back, Full Sleeves, Collared Neck, Plain Shalwar",2-Piece Kurta Shalwar,"100% melange cotton fibres make this creamy, luxurious fabric.","Rs.4,990.00","Rs.2,918.50",Cream,100% premium melange cotton,"Regular Fit,Slim Fit","XS,S,M,L,XL"
113,Wave,"Plain Front, Plain Back, Full Sleeves, Collared Neck, Plain Shalwar",2-Piece Kurta Shalwar,This rich blue textile is 100% premium melange cotton.,"Rs.4,990.00","Rs.3,243.50",Blue,100% premium melange cotton,Regular Fit,"XS,S,M,L,XL"
114,Oak,"Plain Front, Plain Back, Full Sleeves, Band Neck, Plain Shalwar",2-Piece Kurta Shalwar,A timeless umber ensemble in 100% melange cotton.,"Rs.4,990.00","Rs.3,243.50",Light Brown,100% premium melange cotton,Regular Fit,"XS,S,M,L,XL"
115,Tide,"Plain Front, Plain Back, Full Sleeves, Band Neck, Plain Shalwar",2-Piece Kurta Shalwar,Sea green luxury 100% premium melange cotton.,"Rs.4,990.00","Rs.3,243.50",Sea Green,100% premium melange cotton,Regular Fit,"XS,S,M,L,XL"
116,Forest,"Plain Front, Plain Back, Full Sleeves, Band Neck, Plain Shalwar",2-Piece Kurta Shalwar,100% premium unstitched melange cotton in elegant olive green.,"Rs.4,990.00","Rs.3,243.50",Olive,100% premium melange cotton,Regular Fit,"XS,S,M,L,XL"
117,Ultramarine,"Plain Front, Plain Back, Full Sleeves, Band Neckline",Straight Kurta,A simple and stylish jacquard piece in a decadent blue.,"Rs.2,790.00","Rs.1,813.50",Blue,100% Cotton Jacquard,"Slim Fit,Regular Fit","XS,S,M,L,XL"
118,Steel,"Plain Front, Plain Back, Band Neck",Waist Coat,This classic band collared waist coat is made of luxurious premium melange cotton in a chrome shade.,"Rs.3,990.00","Rs.2,593.50",Grey,100% Premium Melange Cotton,Regular Fit,"S,M,L,XL, XXL"
119,Frost Navy,"Plain Front, Plain Back, Full Sleeves, Band Neckline",Sherwani,"Featuring that classic band neckline, this deep navy sherwani is crafted from viscose linen blend fabric.","Rs.8,990.00","Rs.5,843.50",Dark Navy,Viscose Linen Blend,Regular Fit,"S,M,L,XL"
120,November Navy,"Embroidered Front, Embroidered Back, Band Neckline",Waistcoat,This opulent embroidered navy blue waistcoat features a band neckline and is crafted from 100% fine cotton herring bone fabric.,"Rs.4,990.00","Rs.3,243.50",Navy,100% Fine Cotton Herring Bone,Regular Fit,"S,M,L,XL"
121,Fresh,"Embroidered Front,  Plain Back, Band Neckline",Waistcoat,"Made from 100% fine cotton herring bone fabric, this festive embroidered maroon waist coat features a classic ban neckline.","Rs.4,990.00","Rs.3,243.50",Maroon,100% Fine Cotton Herring Bone,Regular Fit,"S,M,L,XL"
122,Hail,"Plain Front with Embroidery on Shoulder,  Plain Back, Full Sleeves, Band Neckline",Straight Kurta,"Crafted from 100% premium cotton jacquard, this dazzling white kurta features a band neck and traditional embroidered elements.","Rs.2,490.00","Rs.1,618.50",White,100% premium cotton Jacquard,"Regular Fit,Slim Fit","XS,S,M,L,XL"
123,Drizzle,"Plain Front,  Plain Back,Full Sleeves, Collared Neck",Straight Kurta,This solid black kurta features a collar neck and is crafted from 100% premium cotton dobby.,"Rs.2,490.00","Rs.1,618.50",Black,100% premium cotton Dobby,"Regular Fit,Slim Fit","XS,S,M,L,XL"
124,Monsoon,"Plain Front,  Plain Back,Full Sleeves, Band Neckline",Straight Kurta,"Made from 100% fine cotton herring bone fabric, this blue kurta features a classic ban neckline.","Rs.2,490.00","Rs.1,618.50",Blue,100% fine cotton Herring Bone,"Regular Fit,Slim Fit","XS,S,M,L,XL"
125,Cyclone,"Plain Front,  Plain Back,Full Sleeves, Band Neckline",Straight Kurta,This white khaddar kurta features a straight cut and band neckline.,"Rs.2,790.00","Rs.1,813.50",White,Khaddar,"Regular Fit,Slim Fit","XS,S,M,L,XL"
126,Blizzard,"Plain Front,  Plain Back,Full Sleeves, Collared Neck",Straight Kurta,This solid white kurta features a collar neck and is crafted from 100% premium cotton dobby.,"Rs.2,790.00","Rs.1,813.50",White,100% premium cotton Dobby,"Regular Fit,Slim Fit","XS,S,M,L,XL"
127,Olive bark,"Plain Front,  Plain Back, Full Sleeves, Embroidered Band Neckline",Straight Kurta,This subtle ban-neck kurta is crafted from an olive coloured viscose linen blend fabric and sports embroidered details.,"Rs.3,490.00","Rs.2,268.50",Olive,Viscose Linen Blend,"Regular Fit,Slim Fit","XS,S,M,L,XL"
128,Navy seal,"Plain Front,  Plain Back, Full Sleeves, Embroidered Band Neckline",Straight Kurta,This stylish ban-neck kurta is crafted from a navy blue coloured viscose linen blend fabric and features embroidered details.,"Rs.3,490.00","Rs.2,268.50",Dark Navy,Viscose Linen Blend,"Regular Fit,Slim Fit","XS,S,M,L,XL"
129,Droplet,"Plain Front,  Plain Back,Full Sleeves, Band Neckline",Straight Kurta,This feisty teal kurta features a ban neck and is crafted from 100% premium cotton dobby.,"Rs.2,990.00","Rs.1,943.50",Teal,100% premium cotton Dobby,"Regular Fit,Slim Fit","XS,S,M,L,XL"
130,Camelot,"Plain Front,  Plain Back, Full Sleeves, Embroidered Band Neckline",Straight Kurta,This impactful camel kurta is crafted from 100% premium cotton dobby fabric and features a band neck and thread work details.,"Rs.2,790.00","Rs.1,813.50",Camel,100% premium cotton Dobby,"Regular Fit,Slim Fit","XS,S,M,L,XL"
131,Cloud,"Plain Front,  Plain Back, Full Sleeves, Embroidered Band Neckline",Straight Kurta,This statement marine kurta is crafted from 100% premium cotton dobby and features a band neck along with embroidered details.,"Rs.2,790.00","Rs.1,813.50",Marine,100% premium cotton Dobby,"Regular Fit,Slim Fit","XS,S,M,L,XL"
132,Cycle,"Plain Front,  Plain Back,Full Sleeves, Band Neckline",Straight Kurta,This subtle olive green kurta is crafted from 100% premium cotton jacquard and features an elegant band neck.,"Rs.2,490.00","Rs.1,618.50",live Green,100% premium cotton Jacquard,"Regular Fit,Slim Fit","XS,S,M,L,XL"
133,Pelt,"Plain Front,  Plain Back,Full Sleeves, Band Neckline",Straight Kurta,"Make a statement with this regal navy blue kurta, which is crafted from 100% premium cotton jacquard and sports a band neck.","Rs.2,290.00","Rs.1,488.50",Navy,100% premium cotton Jacquard,"Regular Fit,Slim Fit","XS,S,M,L,XL"
134,Plum core,"Plain Front,  Plain Back,Full Sleeves, Band Neckline",Straight Kurta,This subtly embroidered plum toned 100% premium cotton jacquard kurta has a festive appeal.,"Rs.2,290.00","Rs.1,488.50",Deep Plum,100% premium cotton Jacquard,"Regular Fit,Slim Fit","XS,S,M,L,XL"
135,Brewing,"Plain Front with Embroidered Placket,  Plain Back, Full Sleeves, Band Neckline",Straight Kurta,This moody grey kurta is crafted from 100% premium cotton jacquard and features a band neck and embroidered details.,"Rs.2,790.00","Rs.1,813.50",Dark Grey,100% premium cotton Jacquard,"Regular Fit,Slim Fit","XS,S,M,L,XL"
136,Snap,"Plain Front,  Plain Back,Full Sleeves, Band Neckline",Straight Kurta,This solid mauve kurta is made from sturdy khaddar fabric and features a classic band neck.,"Rs.2,790.00","Rs.1,813.50",Mauve,Khaddar,"Regular Fit,Slim Fit","XS,S,M,L,XL"
137,Tiger,"Plain Front, Plain Back, Band Neckline, Full Sleeves, Plain Shalwar",2-Piece Kurta Shalwar,"This earthy brown two piece look features a band neck kurta and matching bottom, both crafted from 100% premium cotton crepe.","Rs.4,490.00","Rs.2,918.50",Brown,100% premium cotton crepe,"Regular Fit,Slim Fit","XS,S,M,L,XL"
138,Ivorian,"Plain Front, Plain Back, Collared Neck, Full Sleeves, Plain Shalwar",2-Piece Kurta Shalwar,"Made from 100% premium cotton crepe fabric, this all white look proves that classics never go out of style.","Rs.4,490.00","Rs.2,918.50",White,100% premium cotton crepe,"Regular Fit,Slim Fit","XS,S,M,L,XL"
139,Slumber black,"Plain Front, Plain Back, Embroidered Band Neckline, Full Sleeves, Plain Shalwar",2-Piece Kurta Shalwar,"Featuring a band neck and embroidered details, this monochrome black look is crafted from poly modal microfiber fabric.","Rs.4,490.00","Rs.2,918.50",Black,Poly Modal Microfiber,"Regular Fit,Slim Fit","XS,S,M,L,XL"
140,Cloud core,"Plain Front, Plain Back, Embroidered Band Neckline, Full Sleeves, Plain Shalwar",2-Piece Kurta Shalwar,"Crafted from poly modal microfiber fabric, this off-white two piece look features a band-neck kurta with embroidered details and matching bottom.","Rs.4,490.00","Rs.2,918.50",Off White,Poly Modal Microfiber,"Regular Fit,Slim Fit","XS,S,M,L,XL"
141,Tanned,"Plain Front, Plain Back, Collared Neck, Full Sleeves, Plain Shalwar",2-Piece Kurta Shalwar,This solid light brown two piece look features a collar kurta and matching bottom crafted from poly modal microfiber fabric.,"Rs.4,490.00","Rs.2,918.50",Light Brown,Poly Modal Microfiber,"Regular Fit,Slim Fit","XS,S,M,L,XL"
142,Fine cream,"Plain Front, Plain Back, Band Neckline, Full Sleeves, Plain Shalwar",2-Piece Kurta Shalwar,This classic cream two piece look features a band-neck kurta and matching trouser in audia blended fabric.,"Rs.4,490.00","Rs.2,918.50",Cream,Audia - blended fabric,"Regular Fit,Slim Fit","XS,S,M,L,XL"
143,Teal Ferocity,"Plain Front, Plain Back, Band Neckline, Full Sleeves, Plain Shalwar",2-Piece Kurta Shalwar,"This traffic-stopping teal look features a band neck kurta and matching bottom, both crafted from 100% fine cotton herring bone fabric.","Rs.3,990.00","Rs.2,593.50",Teal,100% fine cotton Herring Bone,"Regular Fit,Slim Fit","XS,S,M,L,XL"
144,Velveteen,"Plain Front, Plain Back, Embroidered Band Neckline, Full Sleeves, Plain Shalwar",2-Piece Kurta Shalwar,A band neck kurta featuring embroidered details and matching bottoms in a beige audia blended fabric.,"Rs.3,990.00","Rs.2,593.50",Beige,Audia - blended fabric,"Regular Fit,Slim Fit","XS,S,M,L,XL"
145,Aqua,"Plain Front, Plain Back, Band Neck",Waist Coat,This collarless blue waistcoat comes in luxe silk karandi.,"Rs.4,490.00","Rs.2,918.50",Blue,Silk Karandi,Regular Fit,"S,M,L,XL"
146,Byzantium,"Plain Front with Embroidery on Arm Hole, Plain Back, Band Neckline",Waist Coat,"An aubergine waistcoat in tropic fabric, with a band collar and stylishly placed embroidery.","Rs.4,490.00","Rs.2,918.50",Deep Purple,Tropical fabric,Regular Fit,"S,M,L,XL"
147,Cosmos,"Plain Front, Plain Back, Band Neck",Waist Coat,A classic raven-black tropical fabric piece with a minimalistic feel.,"Rs.4,490.00","Rs.2,918.50",Black,Tropical,Regular Fit,"S,M,L,XL"
148,Sahara,"Plain Front, Plain Back, Full Sleeves, Band Neckline, Plain Shalwar",2-Piece Kurta Shalwar,A classy two piece suit in sandy beige feature a kurta with a band collar and a matching bottom.,"Rs.5,990.00","Rs.3,893.50",Beige,Toyobo,Regular Fit,"XS,S,M,L,XL"
149,Depths,"Plain Front, Plain Back, Full Sleeves, Collared Neck, Plain Shalwar",2-Piece Kurta Shalwar,This spun polyester collared kurta set comes in a rich navy blue.,"Rs.5,990.00","Rs.3,893.50",Navy Blue,Toyobo,Regular Fit,"XS,S,M,L,XL"
150,Everest,"Plain Front, Plain Back, Full Sleeves, Collared Neck, Plain Shalwar",2-Piece Kurta Shalwar,A pure white kurta suit with a classic collar and matching bottom.,"Rs.5,990.00","Rs.3,893.50",White,Toyobo,Regular Fit,"XS,S,M,L,XL"
151,Enrich,"Plain Front, Plain Back, Full Sleeves, Band Neckline, Plain Shalwar",2-Piece Kurta Shalwar,A grey two piece set featuring a kurta with a band collar.,"Rs.5,990.00","Rs.3,893.50",Grey,Toyobo,Regular Fit,"XS,S,M,L,XL"
152,Ingenue,"Plain Front, Plain Back, Full Sleeves, Band Neckline, Plain Shalwar",2-Piece Kurta Shalwar,Make a statement with this mauve band-collared kurta set.,"Rs.5,990.00","Rs.3,893.50",Mauve,Toyobo,Regular Fit,"XS,S,M,L,XL"
153,Tourmaline,"Plain Front with Embroidered Neckline & Cuffs, Plain Back, Full Sleeves, Band Neckline",Straight Kurta,An ebony jacquard kurta with embroidery worked into the neckline and cuffs.,"Rs.2,490.00","Rs.1,618.50",Black,100% Cotton Jacquard,"Regular Fit,Slim Fit","XS,S,M,L,XL"
154,Azure,"Embroidered Front, Plain Back, Full Sleeves, Band Neckline",Straight Kurta,"This kurta is cut from navy blue herringbone, and features intricate embroidery and a band collar.","Rs.4,490.00","Rs.2,918.50",Navy ﻿,100% Fine Cotton Herring Bone,"Regular Fit,Slim Fit","XS,S,M,L,XL"
155,Gingham,,Chelsea Boot,Leather chelsea boots in classic black are an all-season must-have.,"Rs.4,490.00","Rs.2,918.50",Black Material: Leathe,s:  Color: Black Material: Leather,,"40,41,42,43,44,45"
156,Devon A,,Regular Fit Chinos,These black regular cut trousers are made from pima cotton for a wrinkle-free fit.,"Rs.4,490.00","Rs.2,918.50",Black,"98% Cotton, 2% Lycra",,"30,32,34,36,38,40"
157,Tusk,,Regular Fit Casual Shirt,A sumptuous 100% cotton Oxford in ivory with a regular fit.,"Rs.2,490.00","Rs.1,618.50",White,100% cotton,,"S,M,L,XL"
158,Pointillism,,Regular Fit Casual Shirt,A cotton dobby piece in a deep blue hue with a smattering of dots.,"Rs.2,990.00","Rs.1,943.50",Blue,100% cotton,,"S,M,L,XL"
159,Azuro,,Regular Fit Casual Shirt,"A minimalist pattern and a rich, peacock blue hue make this cotton dobby piece stand out.","Rs.2,990.00","Rs.1,943.50",Blue,100% cotton,,"S,M,L,XL"
160,Woody,,Regular Fit Casual Shirt,A slate blue tartan overlaid onto a steely grey yarn backdrop.,"Rs.3,490.00","Rs.2,268.50",Blue & Grey,100% cotton,,"S,M,L,XL"
161,Picnic,,Regular Fit Casual Shirt,A maroon hue upgrades this checked poplin shirt.,"Rs.2,990.00","Rs.1,943.50",Maroon,100% cotton,,"S,M,L,XL"
162,Dapper,,Regular Fit Casual Shirt,This monochrome checked shirt in poplin comes in a regular fit.,"Rs.2,990.00","Rs.1,943.50",Blue & White,100% cotton,,"S,M,L,XL"
163,Sky,,Regular Fit Casual Shirt,This striped powder blue Oxford comes in a regular fit.,"Rs.2,490.00","Rs.1,618.50",Light Blue,100% cotton,,"S,M,L,XL"
164,Herder,,Regular Fit Casual Shirt,This Oxford striped shirt comes with the palest shade of pink for the perfect pastel fit.,"Rs.2,490.00","Rs.1,618.50",Pink,100% cotton,,"S,M,L,XL"
165,Mariner C,,Tapered Fit Denim,Tapered jeans with a black wash.,"Rs.2,790.00","Rs.1,813.50",Black,Denim,,"30,32,34,36,38,40"
166,Mariner B,,Tapered Fit Denim,Navy blue denim with a sleek tapered fit.,"Rs.2,790.00","Rs.1,813.50",Navy,Denim,,"30,32,34,36,38,40,42"
167,Mariner A,,Tapered Fit Denim,Denim jeans with a tapered leg in a vintage-inspired light blue.,"Rs.2,790.00","Rs.1,813.50",Light Blue,Denim,,"30,32,34,36,38,40,42"
168,Shadow B,,Slim Fit Denim,Steely hued denim jeans with a slim fit.,"Rs.2,790.00","Rs.1,813.50",Grey,Denim,,"30,32,34,36,38,40,42"
169,Shadow A,,Slim Fit Denim,Slim fit jet-black denim for instant street style.,"Rs.2,790.00","Rs.1,813.50",Black,Denim,,"30,32,34,36,38,40"
170,Jenson B,,Regular Fit Denim,A black rinse gives this pair of regular fit jeans a rock-star edge.,"Rs.2,490.00","Rs.1,618.50",Rinse Black,Denim,,"30,32,34,36,38,40"
171,Jenson A,,Regular Fit Denim,Straight light blue denim in a regular fit.,"Rs.2,490.00","Rs.1,618.50",Light Blue,Denim,,"30,32,34,36,38,40"
172,Devon B,,Regular Fit Chinos,A classic khaki hue and pima cotton keep these regular-fit trousers looking fresh all day.,"Rs.4,490.00","Rs.2,918.50",Khaki,"98% Cotton, 2% Lycra",,"30,32,34,36,38,40"
173,Wesley B,,Tapered Fit Chinos,These tapered olive green chambray trousers work equally well for the office or for a dinner party.,"Rs.3,490.00","Rs.2,268.50",Olive,"98% Cotton, 2% Lycra",,"30,32,34,36,38,40"
174,Cubana C,,Slim Fit Chinos,A rich olive green hued satin and a stylish slim fit make these trousers a must-have piece.,"Rs.2,490.00","Rs.1,618.50",Olive,"97% Cotton, 3% Lycra",,"30,32,34,36,38,40"
175,Cubano B,,Slim Fit Chinos,Slim fit navy trousers in a sumptuous satin finish.,"Rs.2,490.00","Rs.1,618.50",Navy,"97% Cotton, 3% Lycra",,"30,32,34,36,38,40"
176,Country Club C,,Regular Fit Chinos,These satin trousers come in a versatile sandy beige hue with a regular fit.,"Rs.2,490.00","Rs.1,618.50",Beige,"97% Cotton, 3% Lycra",,"30,32,34,36,38,40,42"
177,Country Club B,,Regular Fit Chinos,These navy satin trousers boast a classic regular fit.,"Rs.2,490.00","Rs.1,618.50",Navy,"97% Cotton, 3% Lycra",,"30,32,34,36,38,40,42"
178,Country Club A,,Regular Fit Chinos,Luxurious ebony hued satin trousers in a regular fit.,"Rs.2,490.00","Rs.1,618.50",Black,"97% Cotton, 3% Lycra",,"30,32,34,36,38,40,42"
179,Suave C,,Slim Fit Chinos,"These dark grey cotton trousers come in our signature 'Roy' slim cut, with some lycra blended in for the perfect fit.","Rs.2,990.00","Rs.1,943.50",Dark Grey,"98% Cotton, 2% Lycra",,"30,32,34,36,38,40"
180,Suave B,,Slim Fit Chinos,"These sandy-hued cotton trousers come in our signature 'Roy' slim cut, with some lycra blended in for the perfect fit.","Rs.2,990.00","Rs.1,943.50",Beige,"98% Cotton, 2% Lycra",,"30,32,34,36,38,40"
181,Suave A,,Slim Fit Chinos,"These dark grey cotton trousers come in our signature 'Roy' slim cut, with some lycra blended in for the perfect fit.","Rs.2,990.00","Rs.1,943.50",Navy,"98% Cotton, 2% Lycra",,"30,32,34,36,38,40"
182,Moss,"Embroidered Front, Plain Back, Band Neck",Waist Coat,"This fine olive green waistcoat is cut from viscose linen, and features intricate embroidery.","Rs.4,490.00","Rs.2,918.50",Olive,Viscose Linen,Regular Fit,"S,M,L,XL"
183,Spring,"Plain Front, Plain Back, Full Sleeves, Band Neckline",Straight Kurta,Luxe 100% cotton jacquard in a blue hue with a band collar.,"Rs.2,790.00","Rs.1,813.50",Blue,100% Cotton Jacquard,"Regular Fit,Slim Fit","XS,S,M,L,XL"
184,Cabernet,"Plain Front with Embroidery on Shoulders & Sleeves, Plain Back, Full Sleeves, Band Neckline",Straight Kurta,An oxblood fine herringbone kurta with tasteful embroidery on the shoulders and sleeves.,"Rs.2,490.00","Rs.1,618.50",Burgundy,100% Fine Cotton Herring Bone,"Regular Fit,Slim Fit","XS,S,M,L,XL"
185,Marble,"Plain Front with Embroidered Neckline & Placket, Plain Back, Full Sleeves, Band Neckline",Straight Kurta,This rugged smokey grey cotton khaddar piece gets added refinement from the embroidery on its neckline and placket.,"Rs.2,790.00","Rs.1,813.50",Dark Grey,100% Cotton Khaddar,"Regular Fit,Slim Fit","XS,S,M,L,XL"
186,Rosewood,"Plain Front, Plain Back, Band Neck",Waist Coat,A stylish and minimalistic silk karandi waistcoat in a rich bordeaux shade.,"Rs.5,490.00","Rs.3,568.50",Maroon,Silk Karandi,Regular Fit,"S,M,L,XL"
187,Gris,"Plain Front, Plain Back, Full Sleeves, Band Neckline",Straight Kurta,This grey kurta comes in a luxe jacquard with a stylish band collar.,"Rs.2,790.00","Rs.1,813.50",Grey,100% Cotton Jacquard,"Regular Fit,Slim Fit","XS,S,M,L,XL"
188,River,"Plain Front, Plain Back, Full Sleeves, Band Neckline",Straight Kurta,This eclectic blue printed kurta comes in 100% cotton.,"Rs.2,490.00","Rs.1,618.50",Blue,100% Cotton-Printed,"Regular Fit,Slim Fit","XS,S,M,L,XL"
189,Antique,"Plain Front, Plain Back, Full Sleeves, Band Neckline",Straight Kurta,This cotton jacquard kurta features a band collar and comes in a rust hue.,"Rs.2,790.00","Rs.1,813.50",Rust,100% Cotton Jacquard,"Regular Fit,Slim Fit","XS,S,M,L,XL"
190,Nightshade,"Plain Front with Embroidered Arm Hole, Plain Back, Full Sleeves, Band Neckline",Straight Kurta,"An inky black cotton kurta with embroidered details on the front and back, and a band collar.","Rs.2,790.00","Rs.1,813.50",Black,100% Cotton Dobby,"Regular Fit,Slim Fit","XS,S,M,L,XL"
191,Timber,"Plain Front,  Plain Back with embroidered Yoke, Full Sleeves, Band Neckline",Straight Kurta,A woody hued 100% cotton dobby kurta featuring a band collar and embroidery on the back yoke.,"Rs.2,790.00","Rs.1,813.50",Brown,100% Cotton Dobby,"Regular Fit,Slim Fit","XS,S,M,L,XL"
192,Vine,"Plain Front, Plain Back, Full Sleeves, Band Neckline",Straight Kurta,"This kurta comes in a rich bordeaux shade, and boasts a band collar.","Rs.2,990.00","Rs.1,943.50",Burgundy,100% Cotton Dobby,"Regular Fit,Slim Fit","XS,S,M,L,XL"
193,Midnight,"Plain front with Embroidered Placket, Plain Back, Full Sleeves, Band Neckline",Straight Kurta,A deep navy 100% cotton dobby piece with a band collar and embroidery along the placket.,"Rs.2,990.00","Rs.1,943.50",Navy,100% Cotton Dobby,"Regular Fit,Slim Fit","XS,S,M,L,XL"
194,Noir Homme,"Embroidered Front, Embroidered Back, Full Sleeves, Band Neckline",Straight Kurta,This jet black piece boasts rich embroidery over 100% fine cotton herringbone.,"Rs.4,490.00","Rs.2,918.50",Black,100% Fine Cotton Herring Bone,"Regular Fit,Slim Fit","XS,S,M,L,XL"
195,Jungle,"Plain Front, Plain Back, Full Sleeves, Collared Neck, Plain Shalwar",2-Piece Kurta Shalwar,This fine cotton herringbone set includes a kurta that comes in a deep green and features a shirt collar.,"Rs.3,990.00","Rs.2,593.50",Dark Green,100% Fine Cotton Herring Bone,"Regular Fit,Slim Fit","XS,S,M,L,XL"
196,Beryl,"Embroidered Front, Embroidered Back, Full Sleeves, Band Neckline",Straight Kurta,A fine herringbone kurta in a mauve hue with embroidery all over and a band collar.,"Rs.4,490.00","Rs.2,918.50",Mauve,100% Fine Cotton Herring Bone,"Regular Fit,Slim Fit","XS,S,M,L,XL"
197,Safari,"Plain Front with Embroidered Neckline & Placket, Plain Back, Full Sleeves, Band Neckline",Straight Kurta,Classic khaki khaddar gets a style boost with embroidery along the neckline and placket.,"Rs.2,790.00","Rs.1,813.50",Khaki,100% Cotton Khaddar,"Regular Fit,Slim Fit","XS,S,M,L,XL"
