Name,Description,Material,Color,Current Price,Old Price,Discount,Piece,Best-seller
Shirt Shalwar Dupatta,Lawn Printed Shirt 3.0m/Lawn Printed Dupatta 2.5m/Shalwar 2.5m/,Lawn,Yellow,PKR 2200,,,3Pc,FALSE
Shirt Shalwar,Front Lawn Printed 1.25m/Back Lawn Printed 1.25m/Sleeves Lawn Printed 0.5m/Shalwar 2.5m/,Lawn,Blue,PKR 1500,,,2Pc,FALSE
Shirt Dupatta,Front & Back-lawn Printed 2.5m/Sleeves Lawn Printed 0.75m/Lawn Printed Dupatta 2.5m/,Lawn,Green,PKR 1601,,,2Pc,FALSE
Shirt Shalwar Dupatta,Front & Sleeves Lawn Printed 2.0m/Lawn Printed Dupatta 2.5m/Shalwar 2.5m/Back-lawn Printed 1.25m/,Lawn,Blue,PKR 2200,,,3Pc,FALSE
Shirt Shalwar,Front Lawn Printed 1.25m/Back Lawn Printed 1.25m/Sleeves Lawn Printed 0.5m/Shalwar 2.5m/,Lawn,Green,PKR 1500,,,2Pc,FALSE
Shirt Dupatta,Lawn Printed Shirt 3.0m/Lawn Printed Dupatta 2.5m/,Lawn,Blue,PKR 1601,,,2Pc,FALSE
Shirt Shalwar Dupatta,Front & Back Lawn Printed 2.5m/Lawn Printed Dupatta 2.5m/Shalwar 2.5m/Sleeves Lawn Printed 0.75m/,Lawn,Purple,PKR 2200,,,3Pc,FALSE
Shirt Shalwar,Front Lawn Printed 1.25m/Back Lawn Printed 1.25m/Sleeves Lawn Printed 0.5m/Shalwar 2.5m/,Lawn,Grey,PKR 1500,,,2Pc,FALSE
Shirt Dupatta,Front Lawn Printed 1.25m/Back & Sleeves Lawn Printed 2.0m/Lawn Printed Dupatta 2.5m/,Lawn,Blue,PKR 1601,,,2Pc,FALSE
Shirt Shalwar Dupatta,Front & Sleeves Lawn Printed 2.0m/Lawn Printed Dupatta 2.5m/Shalwar 2.5m/Back Lawn Printed 1.25m/,Lawn,Green,PKR 2200,,,3Pc,FALSE
Shirt Dupatta,Lawn Printed Shirt 3.0m/Lawn Printed Dupatta 2.5m/,Lawn,Pink,PKR 1601,,,2Pc,FALSE
Shirt Shalwar Dupatta,Front & Sleeves Lawn Printed 2.0m/Lawn Printed Dupatta 2.5m/Shalwar 2.5m/Back Lawn Printed 1.25m/,Lawn,White,PKR 2200,,,3Pc,FALSE
Shirt Dupatta,Lawn Printed Shirt 3.0m/Lawn Printed Dupatta 2.5m/,Lawn,Black,PKR 1601,,,2Pc,FALSE
Shirt Shalwar Dupatta,Front & Back Lawn Printed 2.5m/Lawn Printed Dupatta 2.5m/Shalwar 2.5m/,Lawn,Yellow,PKR 2200,,,3Pc,FALSE
Shirt Shalwar Dupatta,Front & Sleeves Lawn Printed 2.0m/Lawn Printed Dupatta 2.5m/Shalwar 2.5m/Back-lawn Printed 1.25m/,Lawn,Beige,PKR 2200,,,3Pc,FALSE
Shirt Dupatta,Lawn Printed Shirt 3.0m/Lawn Printed Dupatta 2.5m/,Lawn,Green,PKR 1601,,,2Pc,FALSE
Shirt Dupatta,Front Lawn Printed 1.25m/Back & Sleeves Lawn Printed 2.0m/Lawn Printed Dupatta 2.5m/,Lawn,Orange,PKR 1601,,,2Pc,TRUE
Shirt Shalwar Dupatta,Front Lawn Printed 1.25m/Lawn Printed Dupatta 2.5m/Shalwar 2.5m/Back Lawn Printed 1.25m/Sleeves Lawn Printed 0.75m/,Lawn,Green,PKR 2200,,,3Pc,FALSE
Shirt Dupatta,Lawn Printed Shirt 3.0m/Lawn Printed Dupatta 2.5m/,Lawn,Blue,PKR 1601,,,2Pc,FALSE
Shirt Dupatta,Front & Sleeves Lawn Printed 2.0m/Back Lawn Printed 1.25m/Lawn Printed Dupatta 2.5m/,Lawn,Orange,PKR 1601,,,2Pc,FALSE
Shirt Shalwar Dupatta,Lawn Printed Shirt 3.25m/Lawn Printed Dupatta 2.5m/Shalwar 2.5m/,Lawn,Purple,PKR 2200,,,3Pc,FALSE
Shirt Shalwar,Front Lawn Printed 1.25m/Back Lawn Printed 1.25m/Sleeves Lawn Printed 0.5m/Shalwar 2.5m/,Lawn,Green,PKR 1500,,,2Pc,FALSE
Shirt Dupatta,Front & Back-lawn Printed 2.5m/Sleeves Lawn Printed 0.75m/Lawn Printed Dupatta 2.5m/,Lawn,Purple,PKR 1601,,,2Pc,FALSE
