,Name,Description,Old Price,New Price,Discount,Size(s)
47,Lawn 2 PC Outfit IPS-19-123,"Light green, screen-printed lawn shirt with screen-printed lawn dupatta","PKR 5,950","PKR 3,570",40,X-Small/Small/Large/X-Large
48,Lawn 2 PC Outfit IPS-19-132,"Cream color, screen-printed lawn shirt with tassel adornment and screen-printed lawn dupatta","PKR 5,950","PKR 3,570",40,Small/Large/X-Large
49,Lawn 2 PC Outfit IPS-19-127,"Gray, screen-printed lawn shirt with hand-work, tassel adornment and screen-printed lawn dupatta","PKR 5,950","PKR 3,570",40,X-Small/Small/X-Large/XX-Large
50,Lawn 2 PC Outfit IPS-19-124,"Light green, screen-printed lawn shirt with over-lapping front panel and screen-printed lawn dupatta","PKR 5,950","PKR 3,570",40,X-Small/Small/Medium/Large/X-Large/XX-Large
51,Lawn 2 PC Outfit IPS-19-122,"Green, screen-printed lawn shirt with screen-printed lawn dupatta","PKR 5,950","PKR 3,570",40,X-Small/Small/X-Large/XX-Large
52,Lawn Shirt GLS-19-204,"Light purple, embroidered lawn shirt with hand-work","PKR 4,850","PKR 2,425",50,X-Small/Small/Large/XX-Large
53,Lawn Shirt GLS-19-202,"Light beige, embroidered, angarkha-style lawn shirt with hand-work","PKR 5,350","PKR 2,675",50,X-Small/Small/Large/X-Large/XX-Large
54,Blue -9022,Textured upper with plain black sole,"PKR 2,450","PKR 1,470",40,36/37/38/39/40
55,Brown Slip Ons -9140,CLASSY BROWN MULE SLIP ONS. PERFECT FIT FOR WINTERS.,"PKR 3,399","PKR 2,040",40,39
56,Brown Slip Ons -9137,COMFY AND STYLISH STRAPPY MULE SLIP ONS. PERFECTLY FIT FOR WINTERS.,"PKR 3,399","PKR 2,040",40,37
57,Black Pumps -9132,COMFY AND STYLISH BLACK POINTED PUMPS WITH METALLIC BUCKLE ORNAMENT.,"PKR 3,199","PKR 1,920",40,36
58,Khaddar Shirt GLW-19-24 DP,"Multi-colored, digital printed khaddar shirt","PKR 3,650","PKR 1,825",50,X-Small/Medium
59,Khaddar 3 PC Outfit IPW-19-55 DP,"Multi-colored, digital printed khaddar shirt with khaddar trouser and khaddar dupatta","PKR 5,300","PKR 3,180",40,X-Small/Small/Medium/X-Large
60,Khaddar 3 PC Outfit IPW-19-54 DP,"Multi-colored, digital printed khaddar shirt with khaddar trouser and khaddar dupatta","PKR 5,300","PKR 3,180",40,X-Small/Small/Medium/X-Large
61,Khaddar Shirt GLW-19-34 DP,"Multi-colored, digital printed khaddar shirt with collar-neckline","PKR 2,950","PKR 1,475",50,XX-Large
62,Khaddar Shirt GLW-19-33 DP,"Multi-colored, digital printed khaddar shirt","PKR 3,650","PKR 1,825",50,Small/Medium/Large
63,Khaddar Shirt GLW-19-32 DP,"Multi-colored, digital printed khaddar shirt with collar-neckline","PKR 3,350","PKR 1,675",50,X-Large
64,Khaddar Shirt GLW-19-31 DP,"Multi-colored, digital printed khaddar shirt","PKR 3,350","PKR 1,675",50,Medium
65,Khaddar Shirt GLW-19-30 DP,"Multi-colored, digital printed khaddar shirt with ben-collar","PKR 3,350","PKR 1,675",50,X-Large
66,Khaddar Shirt GLW-19-29 DP,"Multi-colored, digital printed khaddar shirt","PKR 3,950","PKR 1,975",50,Large
